state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
31,001,"Adams County, NE",2020,16839,16169,670,4,31001
31,001,"Adams County, NE",2019,16839,16314,525,3.1,31001
31,001,"Adams County, NE",2018,16621,16136,485,2.9,31001
31,001,"Adams County, NE",2017,16667,16150,517,3.1,31001
31,001,"Adams County, NE",2016,16749,16226,523,3.1,31001
31,001,"Adams County, NE",2015,16677,16157,520,3.1,31001
31,001,"Adams County, NE",2014,16728,16167,561,3.4,31001
31,001,"Adams County, NE",2013,16906,16305,601,3.6,31001
31,001,"Adams County, NE",2012,16851,16225,626,3.7,31001
31,001,"Adams County, NE",2011,16493,15781,712,4.3,31001
31,001,"Adams County, NE",2010,16472,15677,795,4.8,31001
31,001,"Adams County, NE",2009,17529,16639,890,5.1,31001
31,001,"Adams County, NE",2008,17669,17140,529,3,31001
31,001,"Adams County, NE",2007,17379,16917,462,2.7,31001
31,001,"Adams County, NE",2006,16789,16310,479,2.9,31001
31,001,"Adams County, NE",2005,17024,16449,575,3.4,31001
31,001,"Adams County, NE",2004,17061,16409,652,3.8,31001
31,001,"Adams County, NE",2003,16841,16151,690,4.1,31001
31,001,"Adams County, NE",2002,16939,16329,610,3.6,31001
31,001,"Adams County, NE",2001,17004,16482,522,3.1,31001
31,001,"Adams County, NE",2000,17137,16699,438,2.6,31001
31,001,"Adams County, NE",1999,15951,15614,337,2.1,31001
31,001,"Adams County, NE",1998,15867,15549,318,2,31001
31,001,"Adams County, NE",1997,15915,15628,287,1.8,31001
31,001,"Adams County, NE",1996,16083,15798,285,1.8,31001
31,001,"Adams County, NE",1995,15873,15641,232,1.5,31001
31,001,"Adams County, NE",1994,15776,15530,246,1.6,31001
31,001,"Adams County, NE",1993,15459,15184,275,1.8,31001
31,001,"Adams County, NE",1992,15475,15188,287,1.9,31001
31,001,"Adams County, NE",1991,15200,14888,312,2.1,31001
31,001,"Adams County, NE",1990,15012,14743,269,1.8,31001
