fips_code,area,period,qtrly_estabs,avg_wkly_wage
48173,"Glasscock County, TX",2014-1,105,670
48173,"Glasscock County, TX",2014-2,105,606
48173,"Glasscock County, TX",2014-3,114,684
48173,"Glasscock County, TX",2014-4,114,838
48173,"Glasscock County, TX",2015-1,110,970
48173,"Glasscock County, TX",2015-2,109,865
48173,"Glasscock County, TX",2015-3,112,751
48173,"Glasscock County, TX",2015-4,112,841
48173,"Glasscock County, TX",2016-1,111,919
48173,"Glasscock County, TX",2016-2,115,926
48173,"Glasscock County, TX",2016-3,115,742
48173,"Glasscock County, TX",2016-4,116,821
48173,"Glasscock County, TX",2017-1,114,852
48173,"Glasscock County, TX",2017-2,113,716
48173,"Glasscock County, TX",2017-3,114,718
48173,"Glasscock County, TX",2017-4,119,983
48173,"Glasscock County, TX",2018-1,119,1126
48173,"Glasscock County, TX",2018-2,121,893
48173,"Glasscock County, TX",2018-3,125,1099
48173,"Glasscock County, TX",2018-4,123,1369
48173,"Glasscock County, TX",2019-1,120,1127
48173,"Glasscock County, TX",2019-2,122,1009
48173,"Glasscock County, TX",2019-3,125,992
48173,"Glasscock County, TX",2019-4,130,1197
48173,"Glasscock County, TX",2020-1,130,1353
48173,"Glasscock County, TX",2020-2,131,1100
48173,"Glasscock County, TX",2020-3,133,951
