fips_code,area,period,qtrly_estabs,avg_wkly_wage
21119,"Knott County, KY",2014-1,283,647
21119,"Knott County, KY",2014-1,17,972
21119,"Knott County, KY",2014-1,16,740
21119,"Knott County, KY",2014-1,9,612
21119,"Knott County, KY",2014-1,241,645
21119,"Knott County, KY",2014-2,279,668
21119,"Knott County, KY",2014-2,17,889
21119,"Knott County, KY",2014-2,16,732
21119,"Knott County, KY",2014-2,9,688
21119,"Knott County, KY",2014-2,237,651
21119,"Knott County, KY",2014-3,277,607
21119,"Knott County, KY",2014-3,16,820
21119,"Knott County, KY",2014-3,16,733
21119,"Knott County, KY",2014-3,9,510
21119,"Knott County, KY",2014-3,236,621
21119,"Knott County, KY",2014-4,271,660
21119,"Knott County, KY",2014-4,16,819
21119,"Knott County, KY",2014-4,16,754
21119,"Knott County, KY",2014-4,9,547
21119,"Knott County, KY",2014-4,230,689
21119,"Knott County, KY",2015-1,272,646
21119,"Knott County, KY",2015-1,16,893
21119,"Knott County, KY",2015-1,16,757
21119,"Knott County, KY",2015-1,9,604
21119,"Knott County, KY",2015-1,231,648
21119,"Knott County, KY",2015-2,268,683
21119,"Knott County, KY",2015-2,16,870
21119,"Knott County, KY",2015-2,16,742
21119,"Knott County, KY",2015-2,9,713
21119,"Knott County, KY",2015-2,227,664
21119,"Knott County, KY",2015-3,265,622
21119,"Knott County, KY",2015-3,16,919
21119,"Knott County, KY",2015-3,16,761
21119,"Knott County, KY",2015-3,9,539
21119,"Knott County, KY",2015-3,224,631
21119,"Knott County, KY",2015-4,271,634
21119,"Knott County, KY",2015-4,16,961
21119,"Knott County, KY",2015-4,16,746
21119,"Knott County, KY",2015-4,9,609
21119,"Knott County, KY",2015-4,230,629
21119,"Knott County, KY",2016-1,267,585
21119,"Knott County, KY",2016-1,16,976
21119,"Knott County, KY",2016-1,16,782
21119,"Knott County, KY",2016-1,9,543
21119,"Knott County, KY",2016-1,226,579
21119,"Knott County, KY",2016-2,271,668
21119,"Knott County, KY",2016-2,16,795
21119,"Knott County, KY",2016-2,17,736
21119,"Knott County, KY",2016-2,9,738
21119,"Knott County, KY",2016-2,229,633
21119,"Knott County, KY",2016-3,274,616
21119,"Knott County, KY",2016-3,16,950
21119,"Knott County, KY",2016-3,17,744
21119,"Knott County, KY",2016-3,9,540
21119,"Knott County, KY",2016-3,232,623
21119,"Knott County, KY",2016-4,267,609
21119,"Knott County, KY",2016-4,16,931
21119,"Knott County, KY",2016-4,17,749
21119,"Knott County, KY",2016-4,9,623
21119,"Knott County, KY",2016-4,225,587
21119,"Knott County, KY",2017-1,259,584
21119,"Knott County, KY",2017-1,16,844
21119,"Knott County, KY",2017-1,17,751
21119,"Knott County, KY",2017-1,9,552
21119,"Knott County, KY",2017-1,217,579
21119,"Knott County, KY",2017-2,262,627
21119,"Knott County, KY",2017-2,15,801
21119,"Knott County, KY",2017-2,17,759
21119,"Knott County, KY",2017-2,9,739
21119,"Knott County, KY",2017-2,221,571
21119,"Knott County, KY",2017-3,265,598
21119,"Knott County, KY",2017-3,15,830
21119,"Knott County, KY",2017-3,17,753
21119,"Knott County, KY",2017-3,9,568
21119,"Knott County, KY",2017-3,224,591
21119,"Knott County, KY",2017-4,266,590
21119,"Knott County, KY",2017-4,15,866
21119,"Knott County, KY",2017-4,18,739
21119,"Knott County, KY",2017-4,9,571
21119,"Knott County, KY",2017-4,224,581
21119,"Knott County, KY",2018-1,264,595
21119,"Knott County, KY",2018-1,15,808
21119,"Knott County, KY",2018-1,19,766
21119,"Knott County, KY",2018-1,9,629
21119,"Knott County, KY",2018-1,221,565
21119,"Knott County, KY",2018-2,258,621
21119,"Knott County, KY",2018-2,15,872
21119,"Knott County, KY",2018-2,19,760
21119,"Knott County, KY",2018-2,8,740
21119,"Knott County, KY",2018-2,216,559
21119,"Knott County, KY",2018-3,248,594
21119,"Knott County, KY",2018-3,15,875
21119,"Knott County, KY",2018-3,19,791
21119,"Knott County, KY",2018-3,8,534
21119,"Knott County, KY",2018-3,206,594
21119,"Knott County, KY",2018-4,250,640
21119,"Knott County, KY",2018-4,15,868
21119,"Knott County, KY",2018-4,19,776
21119,"Knott County, KY",2018-4,8,551
21119,"Knott County, KY",2018-4,208,660
21119,"Knott County, KY",2019-1,262,678
21119,"Knott County, KY",2019-1,15,877
21119,"Knott County, KY",2019-1,19,791
21119,"Knott County, KY",2019-1,8,612
21119,"Knott County, KY",2019-1,220,692
21119,"Knott County, KY",2019-2,261,702
21119,"Knott County, KY",2019-2,15,848
21119,"Knott County, KY",2019-2,19,764
21119,"Knott County, KY",2019-2,8,739
21119,"Knott County, KY",2019-2,219,680
21119,"Knott County, KY",2019-3,260,652
21119,"Knott County, KY",2019-3,15,903
21119,"Knott County, KY",2019-3,19,787
21119,"Knott County, KY",2019-3,8,556
21119,"Knott County, KY",2019-3,218,667
21119,"Knott County, KY",2019-4,257,637
21119,"Knott County, KY",2019-4,15,844
21119,"Knott County, KY",2019-4,21,779
21119,"Knott County, KY",2019-4,8,572
21119,"Knott County, KY",2019-4,213,648
21119,"Knott County, KY",2020-1,264,757
21119,"Knott County, KY",2020-1,16,743
21119,"Knott County, KY",2020-1,21,771
21119,"Knott County, KY",2020-1,8,639
21119,"Knott County, KY",2020-1,219,806
21119,"Knott County, KY",2020-2,271,718
21119,"Knott County, KY",2020-2,16,780
21119,"Knott County, KY",2020-2,21,815
21119,"Knott County, KY",2020-2,8,774
21119,"Knott County, KY",2020-2,226,685
21119,"Knott County, KY",2020-3,269,669
21119,"Knott County, KY",2020-3,16,865
21119,"Knott County, KY",2020-3,21,818
21119,"Knott County, KY",2020-3,8,593
21119,"Knott County, KY",2020-3,224,677
