fips_code,area,period,qtrly_estabs,avg_wkly_wage
48065,"Carson County, TX",2014-1,147,1496
48065,"Carson County, TX",2014-2,149,1556
48065,"Carson County, TX",2014-3,152,1365
48065,"Carson County, TX",2014-4,154,1566
48065,"Carson County, TX",2015-1,150,1490
48065,"Carson County, TX",2015-2,159,1532
48065,"Carson County, TX",2015-3,158,1347
48065,"Carson County, TX",2015-4,157,1483
48065,"Carson County, TX",2016-1,158,1436
48065,"Carson County, TX",2016-2,160,1587
48065,"Carson County, TX",2016-3,159,1628
48065,"Carson County, TX",2016-4,162,1392
48065,"Carson County, TX",2017-1,164,1723
48065,"Carson County, TX",2017-2,172,1448
48065,"Carson County, TX",2017-3,174,1463
48065,"Carson County, TX",2017-4,172,1430
48065,"Carson County, TX",2018-1,174,1751
48065,"Carson County, TX",2018-2,173,1443
48065,"Carson County, TX",2018-3,176,1659
48065,"Carson County, TX",2018-4,177,1489
48065,"Carson County, TX",2019-1,178,1870
48065,"Carson County, TX",2019-2,175,1494
48065,"Carson County, TX",2019-3,176,1711
48065,"Carson County, TX",2019-4,175,1520
48065,"Carson County, TX",2020-1,174,1794
48065,"Carson County, TX",2020-2,177,1506
48065,"Carson County, TX",2020-3,180,1703
