state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
13,251,"Screven County, GA",2020,5047,4635,412,8.1999999999999993,13251
13,251,"Screven County, GA",2019,5159,4874,285,5.5,13251
13,251,"Screven County, GA",2018,5295,5005,290,5.5,13251
13,251,"Screven County, GA",2017,5320,4983,337,6.3,13251
13,251,"Screven County, GA",2016,5240,4840,400,7.6,13251
13,251,"Screven County, GA",2015,4986,4564,422,8.5,13251
13,251,"Screven County, GA",2014,5355,4817,538,10,13251
13,251,"Screven County, GA",2013,5555,4860,695,12.5,13251
13,251,"Screven County, GA",2012,5670,4898,772,13.6,13251
13,251,"Screven County, GA",2011,5752,4852,900,15.6,13251
13,251,"Screven County, GA",2010,5826,4824,1002,17.2,13251
13,251,"Screven County, GA",2009,7327,6241,1086,14.8,13251
13,251,"Screven County, GA",2008,7369,6745,624,8.5,13251
13,251,"Screven County, GA",2007,7233,6852,381,5.3,13251
13,251,"Screven County, GA",2006,7196,6821,375,5.2,13251
13,251,"Screven County, GA",2005,6956,6547,409,5.9,13251
13,251,"Screven County, GA",2004,6693,6318,375,5.6,13251
13,251,"Screven County, GA",2003,6644,6253,391,5.9,13251
13,251,"Screven County, GA",2002,6438,6059,379,5.9,13251
13,251,"Screven County, GA",2001,6387,5943,444,7,13251
13,251,"Screven County, GA",2000,6565,6246,319,4.9,13251
13,251,"Screven County, GA",1999,5933,5514,419,7.1,13251
13,251,"Screven County, GA",1998,6136,5619,517,8.4,13251
13,251,"Screven County, GA",1997,6471,5732,739,11.4,13251
13,251,"Screven County, GA",1996,6490,5751,739,11.4,13251
13,251,"Screven County, GA",1995,6766,6155,611,9,13251
13,251,"Screven County, GA",1994,6599,6175,424,6.4,13251
13,251,"Screven County, GA",1993,6608,6145,463,7,13251
13,251,"Screven County, GA",1992,6678,6071,607,9.1,13251
13,251,"Screven County, GA",1991,6395,5820,575,9,13251
13,251,"Screven County, GA",1990,6052,5591,461,7.6,13251
