fips_code,area,period,qtrly_estabs,avg_wkly_wage
29189,"St. Louis County, MO",2014-1,33443,1067
29189,"St. Louis County, MO",2014-1,77,1275
29189,"St. Louis County, MO",2014-1,28,723
29189,"St. Louis County, MO",2014-1,775,832
29189,"St. Louis County, MO",2014-1,32563,1089
29189,"St. Louis County, MO",2014-2,33674,992
29189,"St. Louis County, MO",2014-2,76,1150
29189,"St. Louis County, MO",2014-2,28,734
29189,"St. Louis County, MO",2014-2,776,999
29189,"St. Louis County, MO",2014-2,32794,993
29189,"St. Louis County, MO",2014-3,34068,993
29189,"St. Louis County, MO",2014-3,75,1260
29189,"St. Louis County, MO",2014-3,28,742
29189,"St. Louis County, MO",2014-3,777,800
29189,"St. Louis County, MO",2014-3,33188,1007
29189,"St. Louis County, MO",2014-4,34621,1121
29189,"St. Louis County, MO",2014-4,74,1197
29189,"St. Louis County, MO",2014-4,28,738
29189,"St. Louis County, MO",2014-4,773,892
29189,"St. Louis County, MO",2014-4,33746,1144
29189,"St. Louis County, MO",2015-1,35092,1100
29189,"St. Louis County, MO",2015-1,74,1314
29189,"St. Louis County, MO",2015-1,28,730
29189,"St. Louis County, MO",2015-1,772,859
29189,"St. Louis County, MO",2015-1,34218,1122
29189,"St. Louis County, MO",2015-2,35191,1016
29189,"St. Louis County, MO",2015-2,75,1159
29189,"St. Louis County, MO",2015-2,28,749
29189,"St. Louis County, MO",2015-2,769,1041
29189,"St. Louis County, MO",2015-2,34319,1016
29189,"St. Louis County, MO",2015-3,35595,1004
29189,"St. Louis County, MO",2015-3,75,1310
29189,"St. Louis County, MO",2015-3,29,755
29189,"St. Louis County, MO",2015-3,768,830
29189,"St. Louis County, MO",2015-3,34723,1016
29189,"St. Louis County, MO",2015-4,36070,1148
29189,"St. Louis County, MO",2015-4,73,1292
29189,"St. Louis County, MO",2015-4,29,751
29189,"St. Louis County, MO",2015-4,765,933
29189,"St. Louis County, MO",2015-4,35203,1168
29189,"St. Louis County, MO",2016-1,35951,1074
29189,"St. Louis County, MO",2016-1,73,1233
29189,"St. Louis County, MO",2016-1,29,729
29189,"St. Louis County, MO",2016-1,762,865
29189,"St. Louis County, MO",2016-1,35087,1093
29189,"St. Louis County, MO",2016-2,36258,1043
29189,"St. Louis County, MO",2016-2,74,1131
