fips_code,area,period,qtrly_estabs,avg_wkly_wage
48109,"Culberson County, TX",2014-1,96,595
48109,"Culberson County, TX",2014-2,97,598
48109,"Culberson County, TX",2014-3,98,612
48109,"Culberson County, TX",2014-4,100,624
48109,"Culberson County, TX",2015-1,103,706
48109,"Culberson County, TX",2015-2,102,712
48109,"Culberson County, TX",2015-3,104,724
48109,"Culberson County, TX",2015-4,103,741
48109,"Culberson County, TX",2016-1,105,709
48109,"Culberson County, TX",2016-2,106,729
48109,"Culberson County, TX",2016-3,105,786
48109,"Culberson County, TX",2016-4,109,814
48109,"Culberson County, TX",2017-1,109,905
48109,"Culberson County, TX",2017-2,109,959
48109,"Culberson County, TX",2017-3,105,938
48109,"Culberson County, TX",2017-4,105,994
48109,"Culberson County, TX",2018-1,111,973
48109,"Culberson County, TX",2018-2,111,963
48109,"Culberson County, TX",2018-3,110,987
48109,"Culberson County, TX",2018-4,112,1047
48109,"Culberson County, TX",2019-1,112,993
48109,"Culberson County, TX",2019-2,111,1049
48109,"Culberson County, TX",2019-3,109,1054
48109,"Culberson County, TX",2019-4,109,1154
48109,"Culberson County, TX",2020-1,116,1133
48109,"Culberson County, TX",2020-2,117,1170
48109,"Culberson County, TX",2020-3,118,1141
