state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
05,027,"Columbia County, AR",2020,9053,8433,620,6.8,05027
05,027,"Columbia County, AR",2019,9204,8797,407,4.4,05027
05,027,"Columbia County, AR",2018,9021,8599,422,4.7,05027
05,027,"Columbia County, AR",2017,9091,8627,464,5.1,05027
05,027,"Columbia County, AR",2016,9313,8781,532,5.7,05027
05,027,"Columbia County, AR",2015,9599,8982,617,6.4,05027
05,027,"Columbia County, AR",2014,9630,8957,673,7,05027
05,027,"Columbia County, AR",2013,9755,8920,835,8.6,05027
05,027,"Columbia County, AR",2012,10162,9282,880,8.7,05027
05,027,"Columbia County, AR",2011,10386,9390,996,9.6,05027
05,027,"Columbia County, AR",2010,10516,9504,1012,9.6,05027
05,027,"Columbia County, AR",2009,10571,9555,1016,9.6,05027
05,027,"Columbia County, AR",2008,10787,10042,745,6.9,05027
05,027,"Columbia County, AR",2007,10893,10171,722,6.6,05027
05,027,"Columbia County, AR",2006,10995,10322,673,6.1,05027
05,027,"Columbia County, AR",2005,10991,10289,702,6.4,05027
05,027,"Columbia County, AR",2004,10796,10103,693,6.4,05027
05,027,"Columbia County, AR",2003,10786,10072,714,6.6,05027
05,027,"Columbia County, AR",2002,11081,10432,649,5.9,05027
05,027,"Columbia County, AR",2001,11104,10543,561,5.1,05027
05,027,"Columbia County, AR",2000,11279,10708,571,5.1,05027
05,027,"Columbia County, AR",1999,11590,10881,709,6.1,05027
05,027,"Columbia County, AR",1998,11527,10711,816,7.1,05027
05,027,"Columbia County, AR",1997,11587,10744,843,7.3,05027
05,027,"Columbia County, AR",1996,11695,10937,758,6.5,05027
05,027,"Columbia County, AR",1995,11702,10916,786,6.7,05027
05,027,"Columbia County, AR",1994,11862,10989,873,7.4,05027
05,027,"Columbia County, AR",1993,11771,10876,895,7.6,05027
05,027,"Columbia County, AR",1992,11869,10992,877,7.4,05027
05,027,"Columbia County, AR",1991,11761,10900,861,7.3,05027
05,027,"Columbia County, AR",1990,11823,10948,875,7.4,05027
