fips_code,area,period,qtrly_estabs,avg_wkly_wage
40147,"Washington County, OK",2014-1,1305,1169
40147,"Washington County, OK",2014-2,1302,897
40147,"Washington County, OK",2014-3,1325,873
40147,"Washington County, OK",2014-4,1334,947
40147,"Washington County, OK",2015-1,1329,1140
40147,"Washington County, OK",2015-2,1327,908
40147,"Washington County, OK",2015-3,1341,870
40147,"Washington County, OK",2015-4,1322,971
40147,"Washington County, OK",2016-1,1292,1152
40147,"Washington County, OK",2016-2,1306,896
40147,"Washington County, OK",2016-3,1304,870
40147,"Washington County, OK",2016-4,1299,924
40147,"Washington County, OK",2017-1,1287,1146
40147,"Washington County, OK",2017-2,1272,898
40147,"Washington County, OK",2017-3,1276,892
40147,"Washington County, OK",2017-4,1283,914
40147,"Washington County, OK",2018-1,1269,1210
40147,"Washington County, OK",2018-2,1267,913
40147,"Washington County, OK",2018-3,1278,897
40147,"Washington County, OK",2018-4,1281,958
40147,"Washington County, OK",2019-1,1272,1260
40147,"Washington County, OK",2019-2,1273,942
40147,"Washington County, OK",2019-3,1285,916
40147,"Washington County, OK",2019-4,1303,974
40147,"Washington County, OK",2020-1,1290,1255
40147,"Washington County, OK",2020-2,1292,1005
40147,"Washington County, OK",2020-3,1290,935
