state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
37,171,"Surry County, NC",2020,32640,30404,2236,6.9,37171
37,171,"Surry County, NC",2019,34232,33025,1207,3.5,37171
37,171,"Surry County, NC",2018,34036,32818,1218,3.6,37171
37,171,"Surry County, NC",2017,33554,32151,1403,4.2,37171
37,171,"Surry County, NC",2016,33418,31820,1598,4.8,37171
37,171,"Surry County, NC",2015,33295,31513,1782,5.4,37171
37,171,"Surry County, NC",2014,33006,31034,1972,6,37171
37,171,"Surry County, NC",2013,33339,30636,2703,8.1,37171
37,171,"Surry County, NC",2012,33943,30594,3349,9.9,37171
37,171,"Surry County, NC",2011,34013,30342,3671,10.8,37171
37,171,"Surry County, NC",2010,34544,30438,4106,11.9,37171
37,171,"Surry County, NC",2009,34077,29655,4422,13,37171
37,171,"Surry County, NC",2008,34275,31602,2673,7.8,37171
37,171,"Surry County, NC",2007,35273,33243,2030,5.8,37171
37,171,"Surry County, NC",2006,35108,33169,1939,5.5,37171
37,171,"Surry County, NC",2005,35187,32984,2203,6.3,37171
37,171,"Surry County, NC",2004,35772,33479,2293,6.4,37171
37,171,"Surry County, NC",2003,36479,33579,2900,7.9,37171
37,171,"Surry County, NC",2002,36286,33326,2960,8.2,37171
37,171,"Surry County, NC",2001,36784,34478,2306,6.3,37171
37,171,"Surry County, NC",2000,37000,35491,1509,4.1,37171
37,171,"Surry County, NC",1999,35479,34142,1337,3.8,37171
37,171,"Surry County, NC",1998,35965,34608,1357,3.8,37171
37,171,"Surry County, NC",1997,36651,35312,1339,3.7,37171
37,171,"Surry County, NC",1996,36518,34743,1775,4.9,37171
37,171,"Surry County, NC",1995,36343,34564,1779,4.9,37171
37,171,"Surry County, NC",1994,35775,34320,1455,4.1,37171
37,171,"Surry County, NC",1993,35276,33800,1476,4.2,37171
37,171,"Surry County, NC",1992,35337,33202,2135,6,37171
37,171,"Surry County, NC",1991,34511,32291,2220,6.4,37171
37,171,"Surry County, NC",1990,33773,32239,1534,4.5,37171
