fips_code,area,period,qtrly_estabs,avg_wkly_wage
20129,"Morton County, KS",2014-1,117,657
20129,"Morton County, KS",2014-1,6,1021
20129,"Morton County, KS",2014-1,4,747
20129,"Morton County, KS",2014-1,14,578
20129,"Morton County, KS",2014-1,93,729
20129,"Morton County, KS",2014-2,114,671
20129,"Morton County, KS",2014-2,6,754
20129,"Morton County, KS",2014-2,4,631
20129,"Morton County, KS",2014-2,14,586
20129,"Morton County, KS",2014-2,90,757
20129,"Morton County, KS",2014-3,111,672
20129,"Morton County, KS",2014-3,6,894
20129,"Morton County, KS",2014-3,4,740
20129,"Morton County, KS",2014-3,14,595
20129,"Morton County, KS",2014-3,87,734
20129,"Morton County, KS",2014-4,114,709
20129,"Morton County, KS",2014-4,6,789
20129,"Morton County, KS",2014-4,4,712
20129,"Morton County, KS",2014-4,14,600
20129,"Morton County, KS",2014-4,90,811
20129,"Morton County, KS",2015-1,115,622
20129,"Morton County, KS",2015-1,6,897
20129,"Morton County, KS",2015-1,4,778
20129,"Morton County, KS",2015-1,14,543
20129,"Morton County, KS",2015-1,91,690
20129,"Morton County, KS",2015-2,115,649
20129,"Morton County, KS",2015-2,6,797
20129,"Morton County, KS",2015-2,4,646
20129,"Morton County, KS",2015-2,14,589
20129,"Morton County, KS",2015-2,91,706
20129,"Morton County, KS",2015-3,113,679
20129,"Morton County, KS",2015-3,6,952
20129,"Morton County, KS",2015-3,4,761
20129,"Morton County, KS",2015-3,14,600
20129,"Morton County, KS",2015-3,89,735
20129,"Morton County, KS",2015-4,114,664
20129,"Morton County, KS",2015-4,6,910
20129,"Morton County, KS",2015-4,4,786
20129,"Morton County, KS",2015-4,14,577
20129,"Morton County, KS",2015-4,90,724
20129,"Morton County, KS",2016-1,113,614
20129,"Morton County, KS",2016-1,6,867
20129,"Morton County, KS",2016-1,4,663
20129,"Morton County, KS",2016-1,14,553
20129,"Morton County, KS",2016-1,89,652
20129,"Morton County, KS",2016-2,110,635
20129,"Morton County, KS",2016-2,6,739
20129,"Morton County, KS",2016-2,4,591
20129,"Morton County, KS",2016-2,14,613
20129,"Morton County, KS",2016-2,86,648
20129,"Morton County, KS",2016-3,113,635
20129,"Morton County, KS",2016-3,6,1008
20129,"Morton County, KS",2016-3,4,640
20129,"Morton County, KS",2016-3,14,543
20129,"Morton County, KS",2016-3,89,680
20129,"Morton County, KS",2016-4,112,671
