fips_code,area,period,qtrly_estabs,avg_wkly_wage
22059,"LaSalle Parish, LA",2014-1,424,671
22059,"LaSalle Parish, LA",2014-2,424,694
22059,"LaSalle Parish, LA",2014-3,431,686
22059,"LaSalle Parish, LA",2014-4,451,719
22059,"LaSalle Parish, LA",2015-1,435,647
22059,"LaSalle Parish, LA",2015-2,438,671
22059,"LaSalle Parish, LA",2015-3,442,661
22059,"LaSalle Parish, LA",2015-4,447,703
22059,"LaSalle Parish, LA",2016-1,432,673
22059,"LaSalle Parish, LA",2016-2,431,662
22059,"LaSalle Parish, LA",2016-3,430,675
22059,"LaSalle Parish, LA",2016-4,432,715
22059,"LaSalle Parish, LA",2017-1,410,663
22059,"LaSalle Parish, LA",2017-2,417,670
22059,"LaSalle Parish, LA",2017-3,422,676
22059,"LaSalle Parish, LA",2017-4,418,701
22059,"LaSalle Parish, LA",2018-1,424,708
22059,"LaSalle Parish, LA",2018-2,432,708
22059,"LaSalle Parish, LA",2018-3,439,731
22059,"LaSalle Parish, LA",2018-4,444,766
22059,"LaSalle Parish, LA",2019-1,438,739
22059,"LaSalle Parish, LA",2019-2,440,753
22059,"LaSalle Parish, LA",2019-3,442,758
22059,"LaSalle Parish, LA",2019-4,445,782
22059,"LaSalle Parish, LA",2020-1,446,743
22059,"LaSalle Parish, LA",2020-2,451,764
22059,"LaSalle Parish, LA",2020-3,452,758
