state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
47,039,"Decatur County, TN",2020,4455,4072,383,8.6,47039
47,039,"Decatur County, TN",2019,4550,4307,243,5.3,47039
47,039,"Decatur County, TN",2018,4490,4265,225,5,47039
47,039,"Decatur County, TN",2017,4660,4418,242,5.2,47039
47,039,"Decatur County, TN",2016,4663,4341,322,6.9,47039
47,039,"Decatur County, TN",2015,4721,4352,369,7.8,47039
47,039,"Decatur County, TN",2014,4806,4346,460,9.6,47039
47,039,"Decatur County, TN",2013,5101,4561,540,10.6,47039
47,039,"Decatur County, TN",2012,5209,4663,546,10.5,47039
47,039,"Decatur County, TN",2011,5320,4692,628,11.8,47039
47,039,"Decatur County, TN",2010,5306,4598,708,13.3,47039
47,039,"Decatur County, TN",2009,5663,4928,735,13,47039
47,039,"Decatur County, TN",2008,5683,5209,474,8.3,47039
47,039,"Decatur County, TN",2007,5752,5433,319,5.5,47039
47,039,"Decatur County, TN",2006,5543,5177,366,6.6,47039
47,039,"Decatur County, TN",2005,5383,4965,418,7.8,47039
47,039,"Decatur County, TN",2004,5465,5070,395,7.2,47039
47,039,"Decatur County, TN",2003,5522,5076,446,8.1,47039
47,039,"Decatur County, TN",2002,5535,5096,439,7.9,47039
47,039,"Decatur County, TN",2001,5512,5132,380,6.9,47039
47,039,"Decatur County, TN",2000,5672,5373,299,5.3,47039
47,039,"Decatur County, TN",1999,5553,5160,393,7.1,47039
47,039,"Decatur County, TN",1998,5734,5230,504,8.8,47039
47,039,"Decatur County, TN",1997,6053,5537,516,8.5,47039
47,039,"Decatur County, TN",1996,5933,5302,631,10.6,47039
47,039,"Decatur County, TN",1995,5914,5434,480,8.1,47039
47,039,"Decatur County, TN",1994,5742,5402,340,5.9,47039
47,039,"Decatur County, TN",1993,5008,4630,378,7.5,47039
47,039,"Decatur County, TN",1992,4834,4311,523,10.8,47039
47,039,"Decatur County, TN",1991,4805,4216,589,12.3,47039
47,039,"Decatur County, TN",1990,4824,4430,394,8.2,47039
