fips_code,area,period,qtrly_estabs,avg_wkly_wage
17063,"Grundy County, IL",2014-1,1265,1068
17063,"Grundy County, IL",2014-1,16,1122
17063,"Grundy County, IL",2014-1,47,728
17063,"Grundy County, IL",2014-1,1202,1130
17063,"Grundy County, IL",2014-2,1269,990
17063,"Grundy County, IL",2014-2,16,982
17063,"Grundy County, IL",2014-2,48,735
17063,"Grundy County, IL",2014-2,1205,1033
17063,"Grundy County, IL",2014-3,1272,937
17063,"Grundy County, IL",2014-3,16,1175
17063,"Grundy County, IL",2014-3,48,787
17063,"Grundy County, IL",2014-3,1208,960
17063,"Grundy County, IL",2014-4,1279,1034
17063,"Grundy County, IL",2014-4,16,1045
17063,"Grundy County, IL",2014-4,48,755
17063,"Grundy County, IL",2014-4,1215,1081
17063,"Grundy County, IL",2015-1,1230,1094
17063,"Grundy County, IL",2015-1,16,1195
17063,"Grundy County, IL",2015-1,48,728
17063,"Grundy County, IL",2015-1,1166,1155
17063,"Grundy County, IL",2015-2,1251,992
17063,"Grundy County, IL",2015-2,16,1057
17063,"Grundy County, IL",2015-2,48,763
17063,"Grundy County, IL",2015-2,1187,1028
17063,"Grundy County, IL",2015-3,1266,974
17063,"Grundy County, IL",2015-3,16,1179
17063,"Grundy County, IL",2015-3,48,795
17063,"Grundy County, IL",2015-3,1202,999
17063,"Grundy County, IL",2015-4,1260,1094
17063,"Grundy County, IL",2015-4,16,1216
17063,"Grundy County, IL",2015-4,48,790
17063,"Grundy County, IL",2015-4,1196,1143
17063,"Grundy County, IL",2016-1,1213,1130
17063,"Grundy County, IL",2016-1,16,1107
17063,"Grundy County, IL",2016-1,48,719
17063,"Grundy County, IL",2016-1,1149,1201
17063,"Grundy County, IL",2016-2,1227,983
17063,"Grundy County, IL",2016-2,16,1022
17063,"Grundy County, IL",2016-2,48,770
17063,"Grundy County, IL",2016-2,1163,1017
17063,"Grundy County, IL",2016-3,1234,1028
17063,"Grundy County, IL",2016-3,16,1216
17063,"Grundy County, IL",2016-3,48,795
17063,"Grundy County, IL",2016-3,1170,1063
17063,"Grundy County, IL",2016-4,1238,1051
17063,"Grundy County, IL",2016-4,16,1226
17063,"Grundy County, IL",2016-4,48,761
17063,"Grundy County, IL",2016-4,1174,1097
17063,"Grundy County, IL",2017-1,1158,1196
17063,"Grundy County, IL",2017-1,15,1091
17063,"Grundy County, IL",2017-1,47,742
17063,"Grundy County, IL",2017-1,1096,1277
17063,"Grundy County, IL",2017-2,1160,1018
17063,"Grundy County, IL",2017-2,15,1115
17063,"Grundy County, IL",2017-2,47,749
17063,"Grundy County, IL",2017-2,1098,1060
17063,"Grundy County, IL",2017-3,1168,1004
17063,"Grundy County, IL",2017-3,16,1149
17063,"Grundy County, IL",2017-3,47,801
17063,"Grundy County, IL",2017-3,1105,1034
17063,"Grundy County, IL",2017-4,1169,1053
17063,"Grundy County, IL",2017-4,16,1259
17063,"Grundy County, IL",2017-4,47,766
17063,"Grundy County, IL",2017-4,1106,1100
17063,"Grundy County, IL",2018-1,1162,1150
17063,"Grundy County, IL",2018-1,16,1155
17063,"Grundy County, IL",2018-1,44,762
17063,"Grundy County, IL",2018-1,1102,1217
17063,"Grundy County, IL",2018-2,1160,1006
17063,"Grundy County, IL",2018-2,16,1255
17063,"Grundy County, IL",2018-2,44,762
17063,"Grundy County, IL",2018-2,1100,1045
17063,"Grundy County, IL",2018-3,1155,1011
17063,"Grundy County, IL",2018-3,16,1167
17063,"Grundy County, IL",2018-3,44,793
17063,"Grundy County, IL",2018-3,1095,1043
17063,"Grundy County, IL",2018-4,1169,1080
17063,"Grundy County, IL",2018-4,16,1397
17063,"Grundy County, IL",2018-4,44,836
17063,"Grundy County, IL",2018-4,1109,1119
17063,"Grundy County, IL",2019-1,1175,1249
17063,"Grundy County, IL",2019-1,16,1248
17063,"Grundy County, IL",2019-1,44,750
17063,"Grundy County, IL",2019-1,1115,1336
17063,"Grundy County, IL",2019-2,1182,1025
17063,"Grundy County, IL",2019-2,16,1270
17063,"Grundy County, IL",2019-2,45,835
17063,"Grundy County, IL",2019-2,1121,1054
17063,"Grundy County, IL",2019-3,1180,1030
17063,"Grundy County, IL",2019-3,17,1178
17063,"Grundy County, IL",2019-3,45,812
17063,"Grundy County, IL",2019-3,1118,1061
17063,"Grundy County, IL",2019-4,1183,1202
17063,"Grundy County, IL",2019-4,16,1266
17063,"Grundy County, IL",2019-4,45,849
17063,"Grundy County, IL",2019-4,1122,1257
17063,"Grundy County, IL",2020-1,1173,1175
17063,"Grundy County, IL",2020-1,17,1098
17063,"Grundy County, IL",2020-1,45,789
17063,"Grundy County, IL",2020-1,1111,1240
17063,"Grundy County, IL",2020-2,1169,1100
17063,"Grundy County, IL",2020-2,17,1318
17063,"Grundy County, IL",2020-2,45,907
17063,"Grundy County, IL",2020-2,1107,1128
17063,"Grundy County, IL",2020-3,1183,1124
17063,"Grundy County, IL",2020-3,16,1042
17063,"Grundy County, IL",2020-3,45,878
17063,"Grundy County, IL",2020-3,1122,1159
