fips_code,area,period,qtrly_estabs,avg_wkly_wage
38041,"Hettinger County, ND",2014-1,126,702
38041,"Hettinger County, ND",2014-1,6,1015
38041,"Hettinger County, ND",2014-1,1,0
38041,"Hettinger County, ND",2014-1,15,0
38041,"Hettinger County, ND",2014-1,104,740
38041,"Hettinger County, ND",2014-2,125,755
38041,"Hettinger County, ND",2014-2,5,859
38041,"Hettinger County, ND",2014-2,1,0
38041,"Hettinger County, ND",2014-2,15,0
38041,"Hettinger County, ND",2014-2,104,757
38041,"Hettinger County, ND",2014-3,127,703
38041,"Hettinger County, ND",2014-3,5,1009
38041,"Hettinger County, ND",2014-3,1,0
38041,"Hettinger County, ND",2014-3,15,0
38041,"Hettinger County, ND",2014-3,106,735
38041,"Hettinger County, ND",2014-4,130,748
38041,"Hettinger County, ND",2014-4,5,842
38041,"Hettinger County, ND",2014-4,1,0
38041,"Hettinger County, ND",2014-4,15,0
38041,"Hettinger County, ND",2014-4,109,808
38041,"Hettinger County, ND",2015-1,127,714
38041,"Hettinger County, ND",2015-1,5,955
38041,"Hettinger County, ND",2015-1,1,0
38041,"Hettinger County, ND",2015-1,15,0
38041,"Hettinger County, ND",2015-1,106,740
38041,"Hettinger County, ND",2015-2,125,792
38041,"Hettinger County, ND",2015-2,5,897
38041,"Hettinger County, ND",2015-2,1,0
38041,"Hettinger County, ND",2015-2,15,0
38041,"Hettinger County, ND",2015-2,104,809
38041,"Hettinger County, ND",2015-3,125,747
38041,"Hettinger County, ND",2015-3,5,1102
38041,"Hettinger County, ND",2015-3,1,0
38041,"Hettinger County, ND",2015-3,15,0
38041,"Hettinger County, ND",2015-3,104,798
38041,"Hettinger County, ND",2015-4,125,809
38041,"Hettinger County, ND",2015-4,5,857
38041,"Hettinger County, ND",2015-4,1,0
38041,"Hettinger County, ND",2015-4,15,0
38041,"Hettinger County, ND",2015-4,104,870
38041,"Hettinger County, ND",2016-1,127,742
38041,"Hettinger County, ND",2016-1,5,931
38041,"Hettinger County, ND",2016-1,1,0
38041,"Hettinger County, ND",2016-1,15,0
38041,"Hettinger County, ND",2016-1,106,782
38041,"Hettinger County, ND",2016-2,128,815
38041,"Hettinger County, ND",2016-2,5,800
38041,"Hettinger County, ND",2016-2,1,0
38041,"Hettinger County, ND",2016-2,15,0
38041,"Hettinger County, ND",2016-2,107,842
38041,"Hettinger County, ND",2016-3,130,766
38041,"Hettinger County, ND",2016-3,5,964
38041,"Hettinger County, ND",2016-3,1,0
38041,"Hettinger County, ND",2016-3,15,0
38041,"Hettinger County, ND",2016-3,109,823
38041,"Hettinger County, ND",2016-4,128,814
38041,"Hettinger County, ND",2016-4,5,929
38041,"Hettinger County, ND",2016-4,1,0
38041,"Hettinger County, ND",2016-4,15,0
38041,"Hettinger County, ND",2016-4,107,880
38041,"Hettinger County, ND",2017-1,127,777
38041,"Hettinger County, ND",2017-1,5,945
38041,"Hettinger County, ND",2017-1,1,0
38041,"Hettinger County, ND",2017-1,15,0
38041,"Hettinger County, ND",2017-1,106,812
38041,"Hettinger County, ND",2017-2,132,843
38041,"Hettinger County, ND",2017-2,5,881
38041,"Hettinger County, ND",2017-2,1,0
38041,"Hettinger County, ND",2017-2,15,0
38041,"Hettinger County, ND",2017-2,111,883
38041,"Hettinger County, ND",2017-3,131,798
38041,"Hettinger County, ND",2017-3,5,1072
38041,"Hettinger County, ND",2017-3,1,0
38041,"Hettinger County, ND",2017-3,15,0
38041,"Hettinger County, ND",2017-3,110,858
38041,"Hettinger County, ND",2017-4,130,841
38041,"Hettinger County, ND",2017-4,5,1023
38041,"Hettinger County, ND",2017-4,1,0
38041,"Hettinger County, ND",2017-4,15,0
38041,"Hettinger County, ND",2017-4,109,921
38041,"Hettinger County, ND",2018-1,128,818
38041,"Hettinger County, ND",2018-1,5,1017
38041,"Hettinger County, ND",2018-1,15,646
38041,"Hettinger County, ND",2018-1,108,878
38041,"Hettinger County, ND",2018-2,131,845
38041,"Hettinger County, ND",2018-2,5,917
38041,"Hettinger County, ND",2018-2,16,719
38041,"Hettinger County, ND",2018-2,110,891
38041,"Hettinger County, ND",2018-3,133,856
38041,"Hettinger County, ND",2018-3,5,1019
38041,"Hettinger County, ND",2018-3,16,539
