state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
48,101,"Cottle County, TX",2020,570,542,28,4.9000000000000004,48101
48,101,"Cottle County, TX",2019,549,526,23,4.2,48101
48,101,"Cottle County, TX",2018,531,508,23,4.3,48101
48,101,"Cottle County, TX",2017,520,498,22,4.2,48101
48,101,"Cottle County, TX",2016,525,498,27,5.1,48101
48,101,"Cottle County, TX",2015,546,507,39,7.1,48101
48,101,"Cottle County, TX",2014,605,567,38,6.3,48101
48,101,"Cottle County, TX",2013,624,581,43,6.9,48101
48,101,"Cottle County, TX",2012,664,615,49,7.4,48101
48,101,"Cottle County, TX",2011,668,616,52,7.8,48101
48,101,"Cottle County, TX",2010,669,622,47,7,48101
48,101,"Cottle County, TX",2009,802,758,44,5.5,48101
48,101,"Cottle County, TX",2008,830,796,34,4.1,48101
48,101,"Cottle County, TX",2007,819,786,33,4,48101
48,101,"Cottle County, TX",2006,790,750,40,5.0999999999999996,48101
48,101,"Cottle County, TX",2005,826,779,47,5.7,48101
48,101,"Cottle County, TX",2004,910,860,50,5.5,48101
48,101,"Cottle County, TX",2003,984,923,61,6.2,48101
48,101,"Cottle County, TX",2002,936,887,49,5.2,48101
48,101,"Cottle County, TX",2001,961,915,46,4.8,48101
48,101,"Cottle County, TX",2000,952,910,42,4.4,48101
48,101,"Cottle County, TX",1999,838,795,43,5.1,48101
48,101,"Cottle County, TX",1998,837,790,47,5.6,48101
48,101,"Cottle County, TX",1997,842,775,67,8,48101
48,101,"Cottle County, TX",1996,879,814,65,7.4,48101
48,101,"Cottle County, TX",1995,868,813,55,6.3,48101
48,101,"Cottle County, TX",1994,852,795,57,6.7,48101
48,101,"Cottle County, TX",1993,902,829,73,8.1,48101
48,101,"Cottle County, TX",1992,919,851,68,7.4,48101
48,101,"Cottle County, TX",1991,940,896,44,4.7,48101
48,101,"Cottle County, TX",1990,1006,974,32,3.2,48101
