fips_code,area,period,qtrly_estabs,avg_wkly_wage
21131,"Leslie County, KY",2014-1,166,638
21131,"Leslie County, KY",2014-2,170,701
21131,"Leslie County, KY",2014-3,169,605
21131,"Leslie County, KY",2014-4,165,678
21131,"Leslie County, KY",2015-1,172,625
21131,"Leslie County, KY",2015-2,173,712
21131,"Leslie County, KY",2015-3,172,660
21131,"Leslie County, KY",2015-4,167,724
21131,"Leslie County, KY",2016-1,169,633
21131,"Leslie County, KY",2016-2,168,720
21131,"Leslie County, KY",2016-3,170,675
21131,"Leslie County, KY",2016-4,170,703
21131,"Leslie County, KY",2017-1,165,687
21131,"Leslie County, KY",2017-2,166,744
21131,"Leslie County, KY",2017-3,163,689
21131,"Leslie County, KY",2017-4,164,719
21131,"Leslie County, KY",2018-1,163,698
21131,"Leslie County, KY",2018-2,162,753
21131,"Leslie County, KY",2018-3,162,713
21131,"Leslie County, KY",2018-4,163,760
21131,"Leslie County, KY",2019-1,169,708
21131,"Leslie County, KY",2019-2,167,735
21131,"Leslie County, KY",2019-3,170,659
21131,"Leslie County, KY",2019-4,171,695
21131,"Leslie County, KY",2020-1,171,682
21131,"Leslie County, KY",2020-2,170,745
21131,"Leslie County, KY",2020-3,172,681
