state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
37,009,"Ashe County, NC",2020,12664,11878,786,6.2,37009
37,009,"Ashe County, NC",2019,12958,12495,463,3.6,37009
37,009,"Ashe County, NC",2018,12701,12235,466,3.7,37009
37,009,"Ashe County, NC",2017,12643,12122,521,4.1,37009
37,009,"Ashe County, NC",2016,12468,11870,598,4.8,37009
37,009,"Ashe County, NC",2015,12297,11566,731,5.9,37009
37,009,"Ashe County, NC",2014,12412,11586,826,6.7,37009
37,009,"Ashe County, NC",2013,12877,11725,1152,8.9,37009
37,009,"Ashe County, NC",2012,13302,11881,1421,10.7,37009
37,009,"Ashe County, NC",2011,13318,11859,1459,11,37009
37,009,"Ashe County, NC",2010,13771,12159,1612,11.7,37009
37,009,"Ashe County, NC",2009,12677,11088,1589,12.5,37009
37,009,"Ashe County, NC",2008,12605,11751,854,6.8,37009
37,009,"Ashe County, NC",2007,13127,12416,711,5.4,37009
37,009,"Ashe County, NC",2006,12872,12093,779,6.1,37009
37,009,"Ashe County, NC",2005,12857,12069,788,6.1,37009
37,009,"Ashe County, NC",2004,12922,12180,742,5.7,37009
37,009,"Ashe County, NC",2003,12969,12060,909,7,37009
37,009,"Ashe County, NC",2002,12699,11586,1113,8.8,37009
37,009,"Ashe County, NC",2001,12668,11648,1020,8.1,37009
37,009,"Ashe County, NC",2000,12503,11862,641,5.1,37009
37,009,"Ashe County, NC",1999,11778,10987,791,6.7,37009
37,009,"Ashe County, NC",1998,11371,10528,843,7.4,37009
37,009,"Ashe County, NC",1997,11635,10457,1178,10.1,37009
37,009,"Ashe County, NC",1996,11791,10511,1280,10.9,37009
37,009,"Ashe County, NC",1995,11817,10875,942,8,37009
37,009,"Ashe County, NC",1994,11534,10848,686,5.9,37009
37,009,"Ashe County, NC",1993,11716,10858,858,7.3,37009
37,009,"Ashe County, NC",1992,11632,10533,1099,9.4,37009
37,009,"Ashe County, NC",1991,11627,10687,940,8.1,37009
37,009,"Ashe County, NC",1990,11391,10738,653,5.7,37009
