state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
40,065,"Jackson County, OK",2020,10766,10327,439,4.0999999999999996,40065
40,065,"Jackson County, OK",2019,10644,10352,292,2.7,40065
40,065,"Jackson County, OK",2018,10745,10434,311,2.9,40065
40,065,"Jackson County, OK",2017,10836,10448,388,3.6,40065
40,065,"Jackson County, OK",2016,10991,10526,465,4.2,40065
40,065,"Jackson County, OK",2015,10867,10436,431,4,40065
40,065,"Jackson County, OK",2014,10655,10212,443,4.2,40065
40,065,"Jackson County, OK",2013,10814,10249,565,5.2,40065
40,065,"Jackson County, OK",2012,11030,10482,548,5,40065
40,065,"Jackson County, OK",2011,11316,10726,590,5.2,40065
40,065,"Jackson County, OK",2010,11453,10802,651,5.7,40065
40,065,"Jackson County, OK",2009,12282,11648,634,5.2,40065
40,065,"Jackson County, OK",2008,12323,11946,377,3.1,40065
40,065,"Jackson County, OK",2007,12561,12148,413,3.3,40065
40,065,"Jackson County, OK",2006,12457,12054,403,3.2,40065
40,065,"Jackson County, OK",2005,12270,11806,464,3.8,40065
40,065,"Jackson County, OK",2004,12518,12055,463,3.7,40065
40,065,"Jackson County, OK",2003,12641,12180,461,3.6,40065
40,065,"Jackson County, OK",2002,12099,11672,427,3.5,40065
40,065,"Jackson County, OK",2001,11967,11584,383,3.2,40065
40,065,"Jackson County, OK",2000,11869,11521,348,2.9,40065
40,065,"Jackson County, OK",1999,12842,12415,427,3.3,40065
40,065,"Jackson County, OK",1998,12766,12204,562,4.4,40065
40,065,"Jackson County, OK",1997,12364,11838,526,4.3,40065
40,065,"Jackson County, OK",1996,11518,11051,467,4.1,40065
40,065,"Jackson County, OK",1995,11312,10723,589,5.2,40065
40,065,"Jackson County, OK",1994,10885,10449,436,4,40065
40,065,"Jackson County, OK",1993,10704,10231,473,4.4,40065
40,065,"Jackson County, OK",1992,10221,9694,527,5.2,40065
40,065,"Jackson County, OK",1991,10263,9560,703,6.8,40065
40,065,"Jackson County, OK",1990,10839,9997,842,7.8,40065
