state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
51,071,"Giles County, VA",2020,7739,7255,484,6.3,51071
51,071,"Giles County, VA",2019,7960,7712,248,3.1,51071
51,071,"Giles County, VA",2018,7870,7611,259,3.3,51071
51,071,"Giles County, VA",2017,7907,7540,367,4.6,51071
51,071,"Giles County, VA",2016,7950,7530,420,5.3,51071
51,071,"Giles County, VA",2015,7974,7567,407,5.1,51071
51,071,"Giles County, VA",2014,8092,7601,491,6.1,51071
51,071,"Giles County, VA",2013,8217,7656,561,6.8,51071
51,071,"Giles County, VA",2012,8227,7641,586,7.1,51071
51,071,"Giles County, VA",2011,8259,7603,656,7.9,51071
51,071,"Giles County, VA",2010,8317,7504,813,9.8,51071
51,071,"Giles County, VA",2009,8375,7593,782,9.3,51071
51,071,"Giles County, VA",2008,8373,7888,485,5.8,51071
51,071,"Giles County, VA",2007,8159,7763,396,4.9,51071
51,071,"Giles County, VA",2006,8481,8137,344,4.0999999999999996,51071
51,071,"Giles County, VA",2005,8381,7918,463,5.5,51071
51,071,"Giles County, VA",2004,8204,7752,452,5.5,51071
51,071,"Giles County, VA",2003,8235,7767,468,5.7,51071
51,071,"Giles County, VA",2002,8049,7545,504,6.3,51071
51,071,"Giles County, VA",2001,7943,7482,461,5.8,51071
51,071,"Giles County, VA",2000,7800,7471,329,4.2,51071
51,071,"Giles County, VA",1999,8469,7961,508,6,51071
51,071,"Giles County, VA",1998,8356,7764,592,7.1,51071
51,071,"Giles County, VA",1997,8300,7775,525,6.3,51071
51,071,"Giles County, VA",1996,8331,7757,574,6.9,51071
51,071,"Giles County, VA",1995,8447,7842,605,7.2,51071
51,071,"Giles County, VA",1994,8300,7719,581,7,51071
51,071,"Giles County, VA",1993,8383,7725,658,7.8,51071
51,071,"Giles County, VA",1992,8456,7744,712,8.4,51071
51,071,"Giles County, VA",1991,8532,7652,880,10.3,51071
51,071,"Giles County, VA",1990,8388,7659,729,8.7,51071
