fips_code,area,period,qtrly_estabs,avg_wkly_wage
20163,"Rooks County, KS",2014-1,217,606
20163,"Rooks County, KS",2014-1,9,761
20163,"Rooks County, KS",2014-1,9,790
20163,"Rooks County, KS",2014-1,21,475
20163,"Rooks County, KS",2014-1,178,652
20163,"Rooks County, KS",2014-2,216,625
20163,"Rooks County, KS",2014-2,9,619
20163,"Rooks County, KS",2014-2,9,650
20163,"Rooks County, KS",2014-2,21,554
20163,"Rooks County, KS",2014-2,177,656
20163,"Rooks County, KS",2014-3,215,633
20163,"Rooks County, KS",2014-3,9,806
20163,"Rooks County, KS",2014-3,9,739
20163,"Rooks County, KS",2014-3,21,488
20163,"Rooks County, KS",2014-3,176,677
20163,"Rooks County, KS",2014-4,214,709
20163,"Rooks County, KS",2014-4,9,720
20163,"Rooks County, KS",2014-4,9,684
20163,"Rooks County, KS",2014-4,21,480
20163,"Rooks County, KS",2014-4,175,816
20163,"Rooks County, KS",2015-1,210,620
20163,"Rooks County, KS",2015-1,9,901
20163,"Rooks County, KS",2015-1,9,808
20163,"Rooks County, KS",2015-1,21,494
20163,"Rooks County, KS",2015-1,171,661
20163,"Rooks County, KS",2015-2,210,654
20163,"Rooks County, KS",2015-2,9,742
20163,"Rooks County, KS",2015-2,9,673
20163,"Rooks County, KS",2015-2,21,580
20163,"Rooks County, KS",2015-2,171,685
20163,"Rooks County, KS",2015-3,211,623
20163,"Rooks County, KS",2015-3,9,838
20163,"Rooks County, KS",2015-3,9,739
20163,"Rooks County, KS",2015-3,21,493
20163,"Rooks County, KS",2015-3,172,659
20163,"Rooks County, KS",2015-4,212,666
20163,"Rooks County, KS",2015-4,9,743
20163,"Rooks County, KS",2015-4,9,777
20163,"Rooks County, KS",2015-4,21,512
20163,"Rooks County, KS",2015-4,173,729
20163,"Rooks County, KS",2016-1,211,624
20163,"Rooks County, KS",2016-1,9,741
20163,"Rooks County, KS",2016-1,9,705
20163,"Rooks County, KS",2016-1,21,511
20163,"Rooks County, KS",2016-1,172,669
20163,"Rooks County, KS",2016-2,211,632
20163,"Rooks County, KS",2016-2,9,709
20163,"Rooks County, KS",2016-2,9,647
20163,"Rooks County, KS",2016-2,21,607
20163,"Rooks County, KS",2016-2,172,641
20163,"Rooks County, KS",2016-3,212,643
20163,"Rooks County, KS",2016-3,9,868
20163,"Rooks County, KS",2016-3,8,728
20163,"Rooks County, KS",2016-3,21,539
20163,"Rooks County, KS",2016-3,174,675
20163,"Rooks County, KS",2016-4,213,643
20163,"Rooks County, KS",2016-4,9,716
20163,"Rooks County, KS",2016-4,8,764
20163,"Rooks County, KS",2016-4,21,501
20163,"Rooks County, KS",2016-4,175,706
20163,"Rooks County, KS",2017-1,208,638
20163,"Rooks County, KS",2017-1,9,688
20163,"Rooks County, KS",2017-1,8,660
20163,"Rooks County, KS",2017-1,22,565
20163,"Rooks County, KS",2017-1,169,673
20163,"Rooks County, KS",2017-2,205,609
20163,"Rooks County, KS",2017-2,9,738
20163,"Rooks County, KS",2017-2,9,721
20163,"Rooks County, KS",2017-2,22,563
20163,"Rooks County, KS",2017-2,165,625
20163,"Rooks County, KS",2017-3,202,636
20163,"Rooks County, KS",2017-3,9,778
20163,"Rooks County, KS",2017-3,9,694
20163,"Rooks County, KS",2017-3,22,527
20163,"Rooks County, KS",2017-3,162,681
20163,"Rooks County, KS",2017-4,204,643
20163,"Rooks County, KS",2017-4,9,835
20163,"Rooks County, KS",2017-4,9,821
20163,"Rooks County, KS",2017-4,23,500
20163,"Rooks County, KS",2017-4,163,710
20163,"Rooks County, KS",2018-1,208,669
20163,"Rooks County, KS",2018-1,9,737
20163,"Rooks County, KS",2018-1,9,696
20163,"Rooks County, KS",2018-1,23,580
20163,"Rooks County, KS",2018-1,167,710
20163,"Rooks County, KS",2018-2,208,627
20163,"Rooks County, KS",2018-2,9,805
20163,"Rooks County, KS",2018-2,9,732
20163,"Rooks County, KS",2018-2,23,581
20163,"Rooks County, KS",2018-2,167,640
20163,"Rooks County, KS",2018-3,208,654
20163,"Rooks County, KS",2018-3,9,770
20163,"Rooks County, KS",2018-3,8,669
20163,"Rooks County, KS",2018-3,23,560
20163,"Rooks County, KS",2018-3,168,696
20163,"Rooks County, KS",2018-4,208,684
20163,"Rooks County, KS",2018-4,9,886
20163,"Rooks County, KS",2018-4,8,863
20163,"Rooks County, KS",2018-4,23,529
20163,"Rooks County, KS",2018-4,168,755
20163,"Rooks County, KS",2019-1,203,658
20163,"Rooks County, KS",2019-1,9,743
20163,"Rooks County, KS",2019-1,8,745
20163,"Rooks County, KS",2019-1,22,570
20163,"Rooks County, KS",2019-1,164,698
20163,"Rooks County, KS",2019-2,195,616
20163,"Rooks County, KS",2019-2,9,808
20163,"Rooks County, KS",2019-2,8,807
20163,"Rooks County, KS",2019-2,22,568
20163,"Rooks County, KS",2019-2,156,627
20163,"Rooks County, KS",2019-3,200,645
20163,"Rooks County, KS",2019-3,9,763
20163,"Rooks County, KS",2019-3,8,729
20163,"Rooks County, KS",2019-3,22,584
20163,"Rooks County, KS",2019-3,161,667
20163,"Rooks County, KS",2019-4,205,688
20163,"Rooks County, KS",2019-4,9,942
20163,"Rooks County, KS",2019-4,9,908
20163,"Rooks County, KS",2019-4,22,552
20163,"Rooks County, KS",2019-4,165,743
20163,"Rooks County, KS",2020-1,196,674
20163,"Rooks County, KS",2020-1,9,775
20163,"Rooks County, KS",2020-1,9,783
20163,"Rooks County, KS",2020-1,22,610
20163,"Rooks County, KS",2020-1,156,700
