fips_code,area,period,qtrly_estabs,avg_wkly_wage
24037,"St. Mary's County, MD",2014-1,2073,1236
24037,"St. Mary's County, MD",2014-2,2066,1163
24037,"St. Mary's County, MD",2014-3,2060,1211
24037,"St. Mary's County, MD",2014-4,2061,1261
24037,"St. Mary's County, MD",2015-1,2086,1240
24037,"St. Mary's County, MD",2015-2,2123,1179
24037,"St. Mary's County, MD",2015-3,2130,1243
24037,"St. Mary's County, MD",2015-4,2119,1267
24037,"St. Mary's County, MD",2016-1,2101,1181
24037,"St. Mary's County, MD",2016-2,2116,1190
24037,"St. Mary's County, MD",2016-3,2126,1301
24037,"St. Mary's County, MD",2016-4,2150,1305
24037,"St. Mary's County, MD",2017-1,2151,1247
24037,"St. Mary's County, MD",2017-2,2148,1276
24037,"St. Mary's County, MD",2017-3,2151,1216
24037,"St. Mary's County, MD",2017-4,2162,1349
24037,"St. Mary's County, MD",2018-1,2172,1254
24037,"St. Mary's County, MD",2018-2,2166,1300
24037,"St. Mary's County, MD",2018-3,2183,1250
24037,"St. Mary's County, MD",2018-4,2193,1381
24037,"St. Mary's County, MD",2019-1,2193,1284
24037,"St. Mary's County, MD",2019-2,2201,1344
24037,"St. Mary's County, MD",2019-3,2204,1281
24037,"St. Mary's County, MD",2019-4,2209,1414
24037,"St. Mary's County, MD",2020-1,2214,1370
24037,"St. Mary's County, MD",2020-2,2197,1492
24037,"St. Mary's County, MD",2020-3,2160,1399
