fips_code,area,period,qtrly_estabs,avg_wkly_wage
20027,"Clay County, KS",2014-1,270,553
20027,"Clay County, KS",2014-1,8,879
20027,"Clay County, KS",2014-1,4,935
20027,"Clay County, KS",2014-1,19,537
20027,"Clay County, KS",2014-1,239,550
20027,"Clay County, KS",2014-2,267,544
20027,"Clay County, KS",2014-2,8,736
20027,"Clay County, KS",2014-2,4,644
20027,"Clay County, KS",2014-2,19,528
20027,"Clay County, KS",2014-2,236,546
20027,"Clay County, KS",2014-3,266,570
20027,"Clay County, KS",2014-3,8,894
20027,"Clay County, KS",2014-3,4,769
20027,"Clay County, KS",2014-3,19,542
20027,"Clay County, KS",2014-3,235,573
20027,"Clay County, KS",2014-4,265,596
20027,"Clay County, KS",2014-4,8,708
20027,"Clay County, KS",2014-4,4,703
20027,"Clay County, KS",2014-4,19,517
20027,"Clay County, KS",2014-4,234,626
20027,"Clay County, KS",2015-1,264,568
20027,"Clay County, KS",2015-1,8,973
20027,"Clay County, KS",2015-1,4,858
20027,"Clay County, KS",2015-1,19,532
20027,"Clay County, KS",2015-1,233,573
20027,"Clay County, KS",2015-2,267,579
20027,"Clay County, KS",2015-2,8,771
20027,"Clay County, KS",2015-2,4,657
20027,"Clay County, KS",2015-2,19,582
20027,"Clay County, KS",2015-2,236,574
20027,"Clay County, KS",2015-3,268,573
20027,"Clay County, KS",2015-3,8,984
20027,"Clay County, KS",2015-3,4,793
20027,"Clay County, KS",2015-3,19,521
20027,"Clay County, KS",2015-3,237,581
20027,"Clay County, KS",2015-4,273,617
20027,"Clay County, KS",2015-4,8,841
20027,"Clay County, KS",2015-4,4,803
20027,"Clay County, KS",2015-4,19,526
20027,"Clay County, KS",2015-4,242,650
20027,"Clay County, KS",2016-1,270,548
20027,"Clay County, KS",2016-1,8,762
20027,"Clay County, KS",2016-1,5,694
20027,"Clay County, KS",2016-1,19,538
20027,"Clay County, KS",2016-1,238,547
20027,"Clay County, KS",2016-2,271,582
20027,"Clay County, KS",2016-2,8,708
20027,"Clay County, KS",2016-2,5,691
20027,"Clay County, KS",2016-2,19,574
20027,"Clay County, KS",2016-2,239,581
20027,"Clay County, KS",2016-3,275,567
20027,"Clay County, KS",2016-3,8,824
20027,"Clay County, KS",2016-3,5,794
20027,"Clay County, KS",2016-3,19,551
20027,"Clay County, KS",2016-3,243,565
20027,"Clay County, KS",2016-4,278,603
20027,"Clay County, KS",2016-4,8,779
20027,"Clay County, KS",2016-4,5,843
20027,"Clay County, KS",2016-4,19,576
20027,"Clay County, KS",2016-4,246,610
20027,"Clay County, KS",2017-1,279,556
20027,"Clay County, KS",2017-1,8,750
20027,"Clay County, KS",2017-1,6,635
20027,"Clay County, KS",2017-1,19,563
20027,"Clay County, KS",2017-1,246,549
20027,"Clay County, KS",2017-2,279,600
20027,"Clay County, KS",2017-2,8,750
20027,"Clay County, KS",2017-2,7,693
20027,"Clay County, KS",2017-2,19,657
20027,"Clay County, KS",2017-2,245,569
20027,"Clay County, KS",2017-3,274,552
20027,"Clay County, KS",2017-3,8,703
20027,"Clay County, KS",2017-3,6,599
20027,"Clay County, KS",2017-3,19,538
20027,"Clay County, KS",2017-3,241,555
20027,"Clay County, KS",2017-4,275,611
20027,"Clay County, KS",2017-4,8,859
20027,"Clay County, KS",2017-4,7,769
20027,"Clay County, KS",2017-4,19,591
20027,"Clay County, KS",2017-4,241,613
20027,"Clay County, KS",2018-1,278,580
20027,"Clay County, KS",2018-1,8,722
20027,"Clay County, KS",2018-1,8,689
20027,"Clay County, KS",2018-1,19,580
20027,"Clay County, KS",2018-1,243,575
20027,"Clay County, KS",2018-2,282,623
20027,"Clay County, KS",2018-2,8,820
20027,"Clay County, KS",2018-2,8,741
20027,"Clay County, KS",2018-2,19,678
20027,"Clay County, KS",2018-2,247,591
20027,"Clay County, KS",2018-3,285,562
20027,"Clay County, KS",2018-3,8,764
20027,"Clay County, KS",2018-3,7,642
20027,"Clay County, KS",2018-3,19,505
20027,"Clay County, KS",2018-3,251,581
20027,"Clay County, KS",2018-4,289,634
20027,"Clay County, KS",2018-4,8,880
20027,"Clay County, KS",2018-4,7,787
20027,"Clay County, KS",2018-4,19,590
20027,"Clay County, KS",2018-4,255,649
20027,"Clay County, KS",2019-1,286,566
20027,"Clay County, KS",2019-1,8,764
20027,"Clay County, KS",2019-1,7,696
20027,"Clay County, KS",2019-1,19,567
20027,"Clay County, KS",2019-1,252,560
20027,"Clay County, KS",2019-2,287,627
20027,"Clay County, KS",2019-2,8,858
20027,"Clay County, KS",2019-2,7,774
20027,"Clay County, KS",2019-2,19,677
20027,"Clay County, KS",2019-2,253,597
20027,"Clay County, KS",2019-3,289,584
20027,"Clay County, KS",2019-3,8,848
20027,"Clay County, KS",2019-3,7,633
20027,"Clay County, KS",2019-3,19,537
20027,"Clay County, KS",2019-3,255,598
20027,"Clay County, KS",2019-4,292,649
20027,"Clay County, KS",2019-4,8,936
20027,"Clay County, KS",2019-4,7,769
20027,"Clay County, KS",2019-4,19,618
20027,"Clay County, KS",2019-4,258,656
20027,"Clay County, KS",2020-1,284,595
20027,"Clay County, KS",2020-1,8,777
20027,"Clay County, KS",2020-1,7,661
20027,"Clay County, KS",2020-1,19,589
20027,"Clay County, KS",2020-1,250,593
20027,"Clay County, KS",2020-2,286,689
20027,"Clay County, KS",2020-2,8,931
20027,"Clay County, KS",2020-2,7,865
20027,"Clay County, KS",2020-2,19,750
20027,"Clay County, KS",2020-2,252,653
20027,"Clay County, KS",2020-3,289,656
20027,"Clay County, KS",2020-3,8,720
20027,"Clay County, KS",2020-3,7,671
20027,"Clay County, KS",2020-3,19,580
20027,"Clay County, KS",2020-3,255,684
