state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
18,107,"Montgomery County, IN",2020,18538,17580,958,5.2,18107
18,107,"Montgomery County, IN",2019,18850,18292,558,3,18107
18,107,"Montgomery County, IN",2018,19087,18519,568,3,18107
18,107,"Montgomery County, IN",2017,18957,18385,572,3,18107
18,107,"Montgomery County, IN",2016,19178,18450,728,3.8,18107
18,107,"Montgomery County, IN",2015,19265,18500,765,4,18107
18,107,"Montgomery County, IN",2014,18701,17695,1006,5.4,18107
18,107,"Montgomery County, IN",2013,18427,17133,1294,7,18107
18,107,"Montgomery County, IN",2012,18608,17110,1498,8.1,18107
18,107,"Montgomery County, IN",2011,18750,17128,1622,8.7,18107
18,107,"Montgomery County, IN",2010,18894,17025,1869,9.9,18107
18,107,"Montgomery County, IN",2009,18919,16972,1947,10.3,18107
18,107,"Montgomery County, IN",2008,19166,18219,947,4.9,18107
18,107,"Montgomery County, IN",2007,19219,18470,749,3.9,18107
18,107,"Montgomery County, IN",2006,19730,18917,813,4.0999999999999996,18107
18,107,"Montgomery County, IN",2005,19862,18942,920,4.5999999999999996,18107
18,107,"Montgomery County, IN",2004,19614,18743,871,4.4,18107
18,107,"Montgomery County, IN",2003,19576,18744,832,4.3,18107
18,107,"Montgomery County, IN",2002,19471,18645,826,4.2,18107
18,107,"Montgomery County, IN",2001,19552,18820,732,3.7,18107
18,107,"Montgomery County, IN",2000,19659,19146,513,2.6,18107
18,107,"Montgomery County, IN",1999,18086,17521,565,3.1,18107
18,107,"Montgomery County, IN",1998,18854,18365,489,2.6,18107
18,107,"Montgomery County, IN",1997,19713,19149,564,2.9,18107
18,107,"Montgomery County, IN",1996,19766,19191,575,2.9,18107
18,107,"Montgomery County, IN",1995,20289,19756,533,2.6,18107
18,107,"Montgomery County, IN",1994,20577,20032,545,2.6,18107
18,107,"Montgomery County, IN",1993,19561,18961,600,3.1,18107
18,107,"Montgomery County, IN",1992,18560,17962,598,3.2,18107
18,107,"Montgomery County, IN",1991,17501,16834,667,3.8,18107
18,107,"Montgomery County, IN",1990,17393,16787,606,3.5,18107
