fips_code,area,period,qtrly_estabs,avg_wkly_wage
55111,"Sauk County, WI",2014-1,1925,642
55111,"Sauk County, WI",2014-2,1934,646
55111,"Sauk County, WI",2014-3,1933,660
55111,"Sauk County, WI",2014-4,1920,707
55111,"Sauk County, WI",2015-1,1925,668
55111,"Sauk County, WI",2015-2,1965,685
55111,"Sauk County, WI",2015-3,1991,674
55111,"Sauk County, WI",2015-4,2012,763
55111,"Sauk County, WI",2016-1,1977,662
55111,"Sauk County, WI",2016-2,1970,697
55111,"Sauk County, WI",2016-3,1971,730
55111,"Sauk County, WI",2016-4,1968,738
55111,"Sauk County, WI",2017-1,1946,723
55111,"Sauk County, WI",2017-2,1965,716
55111,"Sauk County, WI",2017-3,2016,730
55111,"Sauk County, WI",2017-4,2014,777
55111,"Sauk County, WI",2018-1,2008,741
55111,"Sauk County, WI",2018-2,2024,736
55111,"Sauk County, WI",2018-3,2030,745
55111,"Sauk County, WI",2018-4,2037,785
55111,"Sauk County, WI",2019-1,2016,764
55111,"Sauk County, WI",2019-2,2040,762
55111,"Sauk County, WI",2019-3,2044,766
55111,"Sauk County, WI",2019-4,2065,822
55111,"Sauk County, WI",2020-1,2053,791
55111,"Sauk County, WI",2020-2,2078,828
55111,"Sauk County, WI",2020-3,2086,808
