state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
01,097,"Mobile County, AL",2020,190882,175761,15121,7.9,01097
01,097,"Mobile County, AL",2019,188741,181682,7059,3.7,01097
01,097,"Mobile County, AL",2018,188203,179435,8768,4.7,01097
01,097,"Mobile County, AL",2017,186372,176373,9999,5.4,01097
01,097,"Mobile County, AL",2016,186230,173856,12374,6.6,01097
01,097,"Mobile County, AL",2015,186483,173586,12897,6.9,01097
01,097,"Mobile County, AL",2014,185640,171332,14308,7.7,01097
01,097,"Mobile County, AL",2013,186932,170729,16203,8.7,01097
01,097,"Mobile County, AL",2012,188890,171102,17788,9.4,01097
01,097,"Mobile County, AL",2011,193845,173055,20790,10.7,01097
01,097,"Mobile County, AL",2010,192800,171314,21486,11.1,01097
01,097,"Mobile County, AL",2009,186230,166932,19298,10.4,01097
01,097,"Mobile County, AL",2008,187300,176287,11013,5.9,01097
01,097,"Mobile County, AL",2007,184901,177341,7560,4.1,01097
01,097,"Mobile County, AL",2006,182199,174677,7522,4.0999999999999996,01097
01,097,"Mobile County, AL",2005,179899,171056,8843,4.9000000000000004,01097
01,097,"Mobile County, AL",2004,179039,167474,11565,6.5,01097
01,097,"Mobile County, AL",2003,180945,168440,12505,6.9,01097
01,097,"Mobile County, AL",2002,182152,170334,11818,6.5,01097
01,097,"Mobile County, AL",2001,184868,174354,10514,5.7,01097
01,097,"Mobile County, AL",2000,186171,176895,9276,5,01097
01,097,"Mobile County, AL",1999,199797,189686,10111,5.1,01097
01,097,"Mobile County, AL",1998,198563,189634,8929,4.5,01097
01,097,"Mobile County, AL",1997,197841,187480,10361,5.2,01097
01,097,"Mobile County, AL",1996,193735,182944,10791,5.6,01097
01,097,"Mobile County, AL",1995,192514,179086,13428,7,01097
01,097,"Mobile County, AL",1994,190859,176899,13960,7.3,01097
01,097,"Mobile County, AL",1993,187148,171841,15307,8.2,01097
01,097,"Mobile County, AL",1992,182095,167184,14911,8.2,01097
01,097,"Mobile County, AL",1991,176654,164217,12437,7,01097
01,097,"Mobile County, AL",1990,171301,159374,11927,7,01097
