fips_code,area,period,qtrly_estabs,avg_wkly_wage
31091,"Hooker County, NE",2014-1,38,409
31091,"Hooker County, NE",2014-1,1,574
31091,"Hooker County, NE",2014-1,3,0
31091,"Hooker County, NE",2014-1,4,0
31091,"Hooker County, NE",2014-1,30,441
31091,"Hooker County, NE",2014-2,37,405
31091,"Hooker County, NE",2014-2,1,1011
31091,"Hooker County, NE",2014-2,3,0
31091,"Hooker County, NE",2014-2,3,0
31091,"Hooker County, NE",2014-2,30,411
31091,"Hooker County, NE",2014-3,36,490
31091,"Hooker County, NE",2014-3,1,715
31091,"Hooker County, NE",2014-3,3,0
31091,"Hooker County, NE",2014-3,3,0
31091,"Hooker County, NE",2014-3,29,495
31091,"Hooker County, NE",2014-4,38,506
31091,"Hooker County, NE",2014-4,1,1083
31091,"Hooker County, NE",2014-4,3,0
31091,"Hooker County, NE",2014-4,3,0
31091,"Hooker County, NE",2014-4,31,550
31091,"Hooker County, NE",2015-1,36,455
31091,"Hooker County, NE",2015-1,1,629
31091,"Hooker County, NE",2015-1,3,0
31091,"Hooker County, NE",2015-1,3,0
31091,"Hooker County, NE",2015-1,29,490
31091,"Hooker County, NE",2015-2,34,451
31091,"Hooker County, NE",2015-2,1,1206
31091,"Hooker County, NE",2015-2,3,0
31091,"Hooker County, NE",2015-2,3,0
31091,"Hooker County, NE",2015-2,27,461
31091,"Hooker County, NE",2015-3,35,507
31091,"Hooker County, NE",2015-3,1,1394
31091,"Hooker County, NE",2015-3,3,0
31091,"Hooker County, NE",2015-3,3,0
31091,"Hooker County, NE",2015-3,28,500
31091,"Hooker County, NE",2015-4,35,498
31091,"Hooker County, NE",2015-4,1,748
31091,"Hooker County, NE",2015-4,3,0
31091,"Hooker County, NE",2015-4,3,0
31091,"Hooker County, NE",2015-4,28,532
31091,"Hooker County, NE",2016-1,35,455
31091,"Hooker County, NE",2016-1,1,792
31091,"Hooker County, NE",2016-1,3,0
31091,"Hooker County, NE",2016-1,3,0
31091,"Hooker County, NE",2016-1,28,478
31091,"Hooker County, NE",2016-2,38,448
31091,"Hooker County, NE",2016-2,1,936
31091,"Hooker County, NE",2016-2,3,0
31091,"Hooker County, NE",2016-2,3,0
31091,"Hooker County, NE",2016-2,31,451
31091,"Hooker County, NE",2016-3,38,523
31091,"Hooker County, NE",2016-3,1,836
31091,"Hooker County, NE",2016-3,3,0
31091,"Hooker County, NE",2016-3,3,0
31091,"Hooker County, NE",2016-3,31,525
31091,"Hooker County, NE",2016-4,38,486
31091,"Hooker County, NE",2016-4,1,742
31091,"Hooker County, NE",2016-4,3,0
31091,"Hooker County, NE",2016-4,3,0
31091,"Hooker County, NE",2016-4,31,512
31091,"Hooker County, NE",2017-1,39,467
31091,"Hooker County, NE",2017-1,1,663
31091,"Hooker County, NE",2017-1,3,0
31091,"Hooker County, NE",2017-1,3,0
31091,"Hooker County, NE",2017-1,32,491
31091,"Hooker County, NE",2017-2,39,478
31091,"Hooker County, NE",2017-2,1,831
31091,"Hooker County, NE",2017-2,3,0
31091,"Hooker County, NE",2017-2,3,0
31091,"Hooker County, NE",2017-2,32,496
31091,"Hooker County, NE",2017-3,39,513
31091,"Hooker County, NE",2017-3,1,708
31091,"Hooker County, NE",2017-3,3,0
31091,"Hooker County, NE",2017-3,3,0
31091,"Hooker County, NE",2017-3,32,521
31091,"Hooker County, NE",2017-4,38,472
31091,"Hooker County, NE",2017-4,1,804
31091,"Hooker County, NE",2017-4,2,0
31091,"Hooker County, NE",2017-4,3,0
31091,"Hooker County, NE",2017-4,32,480
31091,"Hooker County, NE",2018-1,38,495
31091,"Hooker County, NE",2018-1,1,651
31091,"Hooker County, NE",2018-1,2,0
31091,"Hooker County, NE",2018-1,3,0
31091,"Hooker County, NE",2018-1,32,522
31091,"Hooker County, NE",2018-2,38,518
31091,"Hooker County, NE",2018-2,1,758
31091,"Hooker County, NE",2018-2,2,0
31091,"Hooker County, NE",2018-2,3,0
31091,"Hooker County, NE",2018-2,32,550
31091,"Hooker County, NE",2018-3,37,544
31091,"Hooker County, NE",2018-3,1,728
31091,"Hooker County, NE",2018-3,2,0
31091,"Hooker County, NE",2018-3,3,0
31091,"Hooker County, NE",2018-3,31,536
31091,"Hooker County, NE",2018-4,39,516
31091,"Hooker County, NE",2018-4,1,753
31091,"Hooker County, NE",2018-4,2,0
31091,"Hooker County, NE",2018-4,3,0
31091,"Hooker County, NE",2018-4,33,550
31091,"Hooker County, NE",2019-1,38,485
31091,"Hooker County, NE",2019-1,1,878
31091,"Hooker County, NE",2019-1,2,0
31091,"Hooker County, NE",2019-1,3,0
31091,"Hooker County, NE",2019-1,32,504
31091,"Hooker County, NE",2019-2,38,501
31091,"Hooker County, NE",2019-2,1,913
31091,"Hooker County, NE",2019-2,2,0
31091,"Hooker County, NE",2019-2,3,0
31091,"Hooker County, NE",2019-2,32,523
31091,"Hooker County, NE",2019-3,37,530
31091,"Hooker County, NE",2019-3,1,731
31091,"Hooker County, NE",2019-3,2,0
31091,"Hooker County, NE",2019-3,3,0
31091,"Hooker County, NE",2019-3,31,529
31091,"Hooker County, NE",2019-4,39,496
31091,"Hooker County, NE",2019-4,1,801
31091,"Hooker County, NE",2019-4,2,0
31091,"Hooker County, NE",2019-4,3,0
31091,"Hooker County, NE",2019-4,33,504
31091,"Hooker County, NE",2020-1,39,514
31091,"Hooker County, NE",2020-1,2,622
31091,"Hooker County, NE",2020-1,2,0
31091,"Hooker County, NE",2020-1,3,0
31091,"Hooker County, NE",2020-1,32,556
31091,"Hooker County, NE",2020-2,40,562
31091,"Hooker County, NE",2020-2,2,796
31091,"Hooker County, NE",2020-2,2,0
31091,"Hooker County, NE",2020-2,3,0
31091,"Hooker County, NE",2020-2,33,593
31091,"Hooker County, NE",2020-3,40,564
31091,"Hooker County, NE",2020-3,2,702
31091,"Hooker County, NE",2020-3,2,0
31091,"Hooker County, NE",2020-3,3,0
31091,"Hooker County, NE",2020-3,33,571
