fips_code,county,state,area,area_formatted,county_page_url
01109,Pike County,Alabama,"Pike County, Alabama",pike-county-alabama,site/county-pages/pike-county-alabama-01109.html
01111,Randolph County,Alabama,"Randolph County, Alabama",randolph-county-alabama,site/county-pages/randolph-county-alabama-01111.html
01113,Russell County,Alabama,"Russell County, Alabama",russell-county-alabama,site/county-pages/russell-county-alabama-01113.html
01115,St. Clair County,Alabama,"St. Clair County, Alabama",st.-clair-county-alabama,site/county-pages/st.-clair-county-alabama-01115.html
01117,Shelby County,Alabama,"Shelby County, Alabama",shelby-county-alabama,site/county-pages/shelby-county-alabama-01117.html
01119,Sumter County,Alabama,"Sumter County, Alabama",sumter-county-alabama,site/county-pages/sumter-county-alabama-01119.html
01121,Talladega County,Alabama,"Talladega County, Alabama",talladega-county-alabama,site/county-pages/talladega-county-alabama-01121.html
01123,Tallapoosa County,Alabama,"Tallapoosa County, Alabama",tallapoosa-county-alabama,site/county-pages/tallapoosa-county-alabama-01123.html
01125,Tuscaloosa County,Alabama,"Tuscaloosa County, Alabama",tuscaloosa-county-alabama,site/county-pages/tuscaloosa-county-alabama-01125.html
01127,Walker County,Alabama,"Walker County, Alabama",walker-county-alabama,site/county-pages/walker-county-alabama-01127.html
01129,Washington County,Alabama,"Washington County, Alabama",washington-county-alabama,site/county-pages/washington-county-alabama-01129.html
01131,Wilcox County,Alabama,"Wilcox County, Alabama",wilcox-county-alabama,site/county-pages/wilcox-county-alabama-01131.html
01133,Winston County,Alabama,"Winston County, Alabama",winston-county-alabama,site/county-pages/winston-county-alabama-01133.html
02013,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska",aleutians-east-borough-alaska,site/county-pages/aleutians-east-borough-alaska-02013.html
02060,Bristol Bay Borough,Alaska,"Bristol Bay Borough, Alaska",bristol-bay-borough-alaska,site/county-pages/bristol-bay-borough-alaska-02060.html
02068,Denali Borough,Alaska,"Denali Borough, Alaska",denali-borough-alaska,site/county-pages/denali-borough-alaska-02068.html
02090,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska",fairbanks-north-star-borough-alaska,site/county-pages/fairbanks-north-star-borough-alaska-02090.html
02100,Haines Borough,Alaska,"Haines Borough, Alaska",haines-borough-alaska,site/county-pages/haines-borough-alaska-02100.html
02110,Juneau City and Borough,Alaska,"Juneau City and Borough, Alaska",juneau-city-and-borough-alaska,site/county-pages/juneau-city-and-borough-alaska-02110.html
02122,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska",kenai-peninsula-borough-alaska,site/county-pages/kenai-peninsula-borough-alaska-02122.html
02130,Ketchikan Gateway Borough,Alaska,"Ketchikan Gateway Borough, Alaska",ketchikan-gateway-borough-alaska,site/county-pages/ketchikan-gateway-borough-alaska-02130.html
02150,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska",kodiak-island-borough-alaska,site/county-pages/kodiak-island-borough-alaska-02150.html
02164,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska",lake-and-peninsula-borough-alaska,site/county-pages/lake-and-peninsula-borough-alaska-02164.html
02170,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska",matanuska-susitna-borough-alaska,site/county-pages/matanuska-susitna-borough-alaska-02170.html
02185,North Slope Borough,Alaska,"North Slope Borough, Alaska",north-slope-borough-alaska,site/county-pages/north-slope-borough-alaska-02185.html
02188,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska",northwest-arctic-borough-alaska,site/county-pages/northwest-arctic-borough-alaska-02188.html
02195,Petersburg Borough,Alaska,"Petersburg Borough, Alaska",petersburg-borough-alaska,site/county-pages/petersburg-borough-alaska-02195.html
02220,Sitka City and Borough,Alaska,"Sitka City and Borough, Alaska",sitka-city-and-borough-alaska,site/county-pages/sitka-city-and-borough-alaska-02220.html
02275,Wrangell City and Borough,Alaska,"Wrangell City and Borough, Alaska",wrangell-city-and-borough-alaska,site/county-pages/wrangell-city-and-borough-alaska-02275.html
02282,Yakutat City and Borough,Alaska,"Yakutat City and Borough, Alaska",yakutat-city-and-borough-alaska,site/county-pages/yakutat-city-and-borough-alaska-02282.html
04001,Apache County,Arizona,"Apache County, Arizona",apache-county-arizona,site/county-pages/apache-county-arizona-04001.html
04003,Cochise County,Arizona,"Cochise County, Arizona",cochise-county-arizona,site/county-pages/cochise-county-arizona-04003.html
04005,Coconino County,Arizona,"Coconino County, Arizona",coconino-county-arizona,site/county-pages/coconino-county-arizona-04005.html
04007,Gila County,Arizona,"Gila County, Arizona",gila-county-arizona,site/county-pages/gila-county-arizona-04007.html
04009,Graham County,Arizona,"Graham County, Arizona",graham-county-arizona,site/county-pages/graham-county-arizona-04009.html
04011,Greenlee County,Arizona,"Greenlee County, Arizona",greenlee-county-arizona,site/county-pages/greenlee-county-arizona-04011.html
04012,La Paz County,Arizona,"La Paz County, Arizona",la-paz-county-arizona,site/county-pages/la-paz-county-arizona-04012.html
04013,Maricopa County,Arizona,"Maricopa County, Arizona",maricopa-county-arizona,site/county-pages/maricopa-county-arizona-04013.html
04015,Mohave County,Arizona,"Mohave County, Arizona",mohave-county-arizona,site/county-pages/mohave-county-arizona-04015.html
04017,Navajo County,Arizona,"Navajo County, Arizona",navajo-county-arizona,site/county-pages/navajo-county-arizona-04017.html
04019,Pima County,Arizona,"Pima County, Arizona",pima-county-arizona,site/county-pages/pima-county-arizona-04019.html
04021,Pinal County,Arizona,"Pinal County, Arizona",pinal-county-arizona,site/county-pages/pinal-county-arizona-04021.html
04023,Santa Cruz County,Arizona,"Santa Cruz County, Arizona",santa-cruz-county-arizona,site/county-pages/santa-cruz-county-arizona-04023.html
04025,Yavapai County,Arizona,"Yavapai County, Arizona",yavapai-county-arizona,site/county-pages/yavapai-county-arizona-04025.html
04027,Yuma County,Arizona,"Yuma County, Arizona",yuma-county-arizona,site/county-pages/yuma-county-arizona-04027.html
05001,Arkansas County,Arkansas,"Arkansas County, Arkansas",arkansas-county-arkansas,site/county-pages/arkansas-county-arkansas-05001.html
05003,Ashley County,Arkansas,"Ashley County, Arkansas",ashley-county-arkansas,site/county-pages/ashley-county-arkansas-05003.html
05005,Baxter County,Arkansas,"Baxter County, Arkansas",baxter-county-arkansas,site/county-pages/baxter-county-arkansas-05005.html
05007,Benton County,Arkansas,"Benton County, Arkansas",benton-county-arkansas,site/county-pages/benton-county-arkansas-05007.html
05009,Boone County,Arkansas,"Boone County, Arkansas",boone-county-arkansas,site/county-pages/boone-county-arkansas-05009.html
05011,Bradley County,Arkansas,"Bradley County, Arkansas",bradley-county-arkansas,site/county-pages/bradley-county-arkansas-05011.html
05013,Calhoun County,Arkansas,"Calhoun County, Arkansas",calhoun-county-arkansas,site/county-pages/calhoun-county-arkansas-05013.html
05015,Carroll County,Arkansas,"Carroll County, Arkansas",carroll-county-arkansas,site/county-pages/carroll-county-arkansas-05015.html
05017,Chicot County,Arkansas,"Chicot County, Arkansas",chicot-county-arkansas,site/county-pages/chicot-county-arkansas-05017.html
05019,Clark County,Arkansas,"Clark County, Arkansas",clark-county-arkansas,site/county-pages/clark-county-arkansas-05019.html
05021,Clay County,Arkansas,"Clay County, Arkansas",clay-county-arkansas,site/county-pages/clay-county-arkansas-05021.html
05023,Cleburne County,Arkansas,"Cleburne County, Arkansas",cleburne-county-arkansas,site/county-pages/cleburne-county-arkansas-05023.html
05025,Cleveland County,Arkansas,"Cleveland County, Arkansas",cleveland-county-arkansas,site/county-pages/cleveland-county-arkansas-05025.html
05027,Columbia County,Arkansas,"Columbia County, Arkansas",columbia-county-arkansas,site/county-pages/columbia-county-arkansas-05027.html
05029,Conway County,Arkansas,"Conway County, Arkansas",conway-county-arkansas,site/county-pages/conway-county-arkansas-05029.html
05031,Craighead County,Arkansas,"Craighead County, Arkansas",craighead-county-arkansas,site/county-pages/craighead-county-arkansas-05031.html
05033,Crawford County,Arkansas,"Crawford County, Arkansas",crawford-county-arkansas,site/county-pages/crawford-county-arkansas-05033.html
05035,Crittenden County,Arkansas,"Crittenden County, Arkansas",crittenden-county-arkansas,site/county-pages/crittenden-county-arkansas-05035.html
05037,Cross County,Arkansas,"Cross County, Arkansas",cross-county-arkansas,site/county-pages/cross-county-arkansas-05037.html
05039,Dallas County,Arkansas,"Dallas County, Arkansas",dallas-county-arkansas,site/county-pages/dallas-county-arkansas-05039.html
05041,Desha County,Arkansas,"Desha County, Arkansas",desha-county-arkansas,site/county-pages/desha-county-arkansas-05041.html
05043,Drew County,Arkansas,"Drew County, Arkansas",drew-county-arkansas,site/county-pages/drew-county-arkansas-05043.html
05045,Faulkner County,Arkansas,"Faulkner County, Arkansas",faulkner-county-arkansas,site/county-pages/faulkner-county-arkansas-05045.html
05047,Franklin County,Arkansas,"Franklin County, Arkansas",franklin-county-arkansas,site/county-pages/franklin-county-arkansas-05047.html
05049,Fulton County,Arkansas,"Fulton County, Arkansas",fulton-county-arkansas,site/county-pages/fulton-county-arkansas-05049.html
05051,Garland County,Arkansas,"Garland County, Arkansas",garland-county-arkansas,site/county-pages/garland-county-arkansas-05051.html
05053,Grant County,Arkansas,"Grant County, Arkansas",grant-county-arkansas,site/county-pages/grant-county-arkansas-05053.html
05055,Greene County,Arkansas,"Greene County, Arkansas",greene-county-arkansas,site/county-pages/greene-county-arkansas-05055.html
05057,Hempstead County,Arkansas,"Hempstead County, Arkansas",hempstead-county-arkansas,site/county-pages/hempstead-county-arkansas-05057.html
05059,Hot Spring County,Arkansas,"Hot Spring County, Arkansas",hot-spring-county-arkansas,site/county-pages/hot-spring-county-arkansas-05059.html
05061,Howard County,Arkansas,"Howard County, Arkansas",howard-county-arkansas,site/county-pages/howard-county-arkansas-05061.html
05063,Independence County,Arkansas,"Independence County, Arkansas",independence-county-arkansas,site/county-pages/independence-county-arkansas-05063.html
05065,Izard County,Arkansas,"Izard County, Arkansas",izard-county-arkansas,site/county-pages/izard-county-arkansas-05065.html
05067,Jackson County,Arkansas,"Jackson County, Arkansas",jackson-county-arkansas,site/county-pages/jackson-county-arkansas-05067.html
05069,Jefferson County,Arkansas,"Jefferson County, Arkansas",jefferson-county-arkansas,site/county-pages/jefferson-county-arkansas-05069.html
05071,Johnson County,Arkansas,"Johnson County, Arkansas",johnson-county-arkansas,site/county-pages/johnson-county-arkansas-05071.html
05073,Lafayette County,Arkansas,"Lafayette County, Arkansas",lafayette-county-arkansas,site/county-pages/lafayette-county-arkansas-05073.html
05075,Lawrence County,Arkansas,"Lawrence County, Arkansas",lawrence-county-arkansas,site/county-pages/lawrence-county-arkansas-05075.html
05077,Lee County,Arkansas,"Lee County, Arkansas",lee-county-arkansas,site/county-pages/lee-county-arkansas-05077.html
05079,Lincoln County,Arkansas,"Lincoln County, Arkansas",lincoln-county-arkansas,site/county-pages/lincoln-county-arkansas-05079.html
05081,Little River County,Arkansas,"Little River County, Arkansas",little-river-county-arkansas,site/county-pages/little-river-county-arkansas-05081.html
05083,Logan County,Arkansas,"Logan County, Arkansas",logan-county-arkansas,site/county-pages/logan-county-arkansas-05083.html
05085,Lonoke County,Arkansas,"Lonoke County, Arkansas",lonoke-county-arkansas,site/county-pages/lonoke-county-arkansas-05085.html
05087,Madison County,Arkansas,"Madison County, Arkansas",madison-county-arkansas,site/county-pages/madison-county-arkansas-05087.html
05089,Marion County,Arkansas,"Marion County, Arkansas",marion-county-arkansas,site/county-pages/marion-county-arkansas-05089.html
05091,Miller County,Arkansas,"Miller County, Arkansas",miller-county-arkansas,site/county-pages/miller-county-arkansas-05091.html
05093,Mississippi County,Arkansas,"Mississippi County, Arkansas",mississippi-county-arkansas,site/county-pages/mississippi-county-arkansas-05093.html
05095,Monroe County,Arkansas,"Monroe County, Arkansas",monroe-county-arkansas,site/county-pages/monroe-county-arkansas-05095.html
05097,Montgomery County,Arkansas,"Montgomery County, Arkansas",montgomery-county-arkansas,site/county-pages/montgomery-county-arkansas-05097.html
05099,Nevada County,Arkansas,"Nevada County, Arkansas",nevada-county-arkansas,site/county-pages/nevada-county-arkansas-05099.html
05101,Newton County,Arkansas,"Newton County, Arkansas",newton-county-arkansas,site/county-pages/newton-county-arkansas-05101.html
05103,Ouachita County,Arkansas,"Ouachita County, Arkansas",ouachita-county-arkansas,site/county-pages/ouachita-county-arkansas-05103.html
05105,Perry County,Arkansas,"Perry County, Arkansas",perry-county-arkansas,site/county-pages/perry-county-arkansas-05105.html
05107,Phillips County,Arkansas,"Phillips County, Arkansas",phillips-county-arkansas,site/county-pages/phillips-county-arkansas-05107.html
05109,Pike County,Arkansas,"Pike County, Arkansas",pike-county-arkansas,site/county-pages/pike-county-arkansas-05109.html
05111,Poinsett County,Arkansas,"Poinsett County, Arkansas",poinsett-county-arkansas,site/county-pages/poinsett-county-arkansas-05111.html
05113,Polk County,Arkansas,"Polk County, Arkansas",polk-county-arkansas,site/county-pages/polk-county-arkansas-05113.html
05115,Pope County,Arkansas,"Pope County, Arkansas",pope-county-arkansas,site/county-pages/pope-county-arkansas-05115.html
05117,Prairie County,Arkansas,"Prairie County, Arkansas",prairie-county-arkansas,site/county-pages/prairie-county-arkansas-05117.html
05119,Pulaski County,Arkansas,"Pulaski County, Arkansas",pulaski-county-arkansas,site/county-pages/pulaski-county-arkansas-05119.html
05121,Randolph County,Arkansas,"Randolph County, Arkansas",randolph-county-arkansas,site/county-pages/randolph-county-arkansas-05121.html
05123,St. Francis County,Arkansas,"St. Francis County, Arkansas",st.-francis-county-arkansas,site/county-pages/st.-francis-county-arkansas-05123.html
05125,Saline County,Arkansas,"Saline County, Arkansas",saline-county-arkansas,site/county-pages/saline-county-arkansas-05125.html
05127,Scott County,Arkansas,"Scott County, Arkansas",scott-county-arkansas,site/county-pages/scott-county-arkansas-05127.html
05129,Searcy County,Arkansas,"Searcy County, Arkansas",searcy-county-arkansas,site/county-pages/searcy-county-arkansas-05129.html
05131,Sebastian County,Arkansas,"Sebastian County, Arkansas",sebastian-county-arkansas,site/county-pages/sebastian-county-arkansas-05131.html
05133,Sevier County,Arkansas,"Sevier County, Arkansas",sevier-county-arkansas,site/county-pages/sevier-county-arkansas-05133.html
05135,Sharp County,Arkansas,"Sharp County, Arkansas",sharp-county-arkansas,site/county-pages/sharp-county-arkansas-05135.html
05137,Stone County,Arkansas,"Stone County, Arkansas",stone-county-arkansas,site/county-pages/stone-county-arkansas-05137.html
05139,Union County,Arkansas,"Union County, Arkansas",union-county-arkansas,site/county-pages/union-county-arkansas-05139.html
05141,Van Buren County,Arkansas,"Van Buren County, Arkansas",van-buren-county-arkansas,site/county-pages/van-buren-county-arkansas-05141.html
05143,Washington County,Arkansas,"Washington County, Arkansas",washington-county-arkansas,site/county-pages/washington-county-arkansas-05143.html
05145,White County,Arkansas,"White County, Arkansas",white-county-arkansas,site/county-pages/white-county-arkansas-05145.html
05147,Woodruff County,Arkansas,"Woodruff County, Arkansas",woodruff-county-arkansas,site/county-pages/woodruff-county-arkansas-05147.html
05149,Yell County,Arkansas,"Yell County, Arkansas",yell-county-arkansas,site/county-pages/yell-county-arkansas-05149.html
06001,Alameda County,California,"Alameda County, California",alameda-county-california,site/county-pages/alameda-county-california-06001.html
06003,Alpine County,California,"Alpine County, California",alpine-county-california,site/county-pages/alpine-county-california-06003.html
06005,Amador County,California,"Amador County, California",amador-county-california,site/county-pages/amador-county-california-06005.html
06007,Butte County,California,"Butte County, California",butte-county-california,site/county-pages/butte-county-california-06007.html
06009,Calaveras County,California,"Calaveras County, California",calaveras-county-california,site/county-pages/calaveras-county-california-06009.html
