fips_code,area,period,qtrly_estabs,avg_wkly_wage
45035,"Dorchester County, SC",2014-1,2106,639
45035,"Dorchester County, SC",2014-1,16,1147
45035,"Dorchester County, SC",2014-1,18,618
45035,"Dorchester County, SC",2014-1,50,659
45035,"Dorchester County, SC",2014-1,2022,631
45035,"Dorchester County, SC",2014-2,2147,654
45035,"Dorchester County, SC",2014-2,16,1024
45035,"Dorchester County, SC",2014-2,18,630
45035,"Dorchester County, SC",2014-2,50,651
45035,"Dorchester County, SC",2014-2,2063,653
45035,"Dorchester County, SC",2014-3,2190,652
45035,"Dorchester County, SC",2014-3,17,1148
45035,"Dorchester County, SC",2014-3,18,642
45035,"Dorchester County, SC",2014-3,50,701
45035,"Dorchester County, SC",2014-3,2105,640
45035,"Dorchester County, SC",2014-4,2235,671
45035,"Dorchester County, SC",2014-4,16,1012
45035,"Dorchester County, SC",2014-4,18,638
45035,"Dorchester County, SC",2014-4,50,657
45035,"Dorchester County, SC",2014-4,2151,673
45035,"Dorchester County, SC",2015-1,2162,654
45035,"Dorchester County, SC",2015-1,16,1133
45035,"Dorchester County, SC",2015-1,18,635
45035,"Dorchester County, SC",2015-1,49,632
45035,"Dorchester County, SC",2015-1,2079,655
45035,"Dorchester County, SC",2015-2,2210,666
45035,"Dorchester County, SC",2015-2,16,987
45035,"Dorchester County, SC",2015-2,18,650
45035,"Dorchester County, SC",2015-2,49,656
45035,"Dorchester County, SC",2015-2,2127,666
45035,"Dorchester County, SC",2015-3,2265,671
45035,"Dorchester County, SC",2015-3,16,1081
45035,"Dorchester County, SC",2015-3,20,658
45035,"Dorchester County, SC",2015-3,49,697
45035,"Dorchester County, SC",2015-3,2180,663
45035,"Dorchester County, SC",2015-4,2292,702
45035,"Dorchester County, SC",2015-4,16,1136
45035,"Dorchester County, SC",2015-4,20,720
45035,"Dorchester County, SC",2015-4,49,668
45035,"Dorchester County, SC",2015-4,2207,705
45035,"Dorchester County, SC",2016-1,2245,645
45035,"Dorchester County, SC",2016-1,16,965
45035,"Dorchester County, SC",2016-1,20,674
45035,"Dorchester County, SC",2016-1,50,648
45035,"Dorchester County, SC",2016-1,2159,641
45035,"Dorchester County, SC",2016-2,2264,698
45035,"Dorchester County, SC",2016-2,16,952
45035,"Dorchester County, SC",2016-2,20,689
45035,"Dorchester County, SC",2016-2,50,668
45035,"Dorchester County, SC",2016-2,2178,702
45035,"Dorchester County, SC",2016-3,2325,683
45035,"Dorchester County, SC",2016-3,15,1126
45035,"Dorchester County, SC",2016-3,20,710
45035,"Dorchester County, SC",2016-3,53,704
45035,"Dorchester County, SC",2016-3,2237,674
45035,"Dorchester County, SC",2016-4,2364,703
45035,"Dorchester County, SC",2016-4,15,1192
45035,"Dorchester County, SC",2016-4,20,706
45035,"Dorchester County, SC",2016-4,52,687
45035,"Dorchester County, SC",2016-4,2277,703
45035,"Dorchester County, SC",2017-1,2261,692
45035,"Dorchester County, SC",2017-1,15,996
45035,"Dorchester County, SC",2017-1,18,684
45035,"Dorchester County, SC",2017-1,52,668
45035,"Dorchester County, SC",2017-1,2176,695
45035,"Dorchester County, SC",2017-2,2305,713
45035,"Dorchester County, SC",2017-2,15,1114
45035,"Dorchester County, SC",2017-2,18,715
45035,"Dorchester County, SC",2017-2,52,686
45035,"Dorchester County, SC",2017-2,2220,716
45035,"Dorchester County, SC",2017-3,2362,693
45035,"Dorchester County, SC",2017-3,15,965
45035,"Dorchester County, SC",2017-3,18,730
45035,"Dorchester County, SC",2017-3,53,726
45035,"Dorchester County, SC",2017-3,2276,683
45035,"Dorchester County, SC",2017-4,2383,735
45035,"Dorchester County, SC",2017-4,15,1211
45035,"Dorchester County, SC",2017-4,18,737
45035,"Dorchester County, SC",2017-4,53,693
45035,"Dorchester County, SC",2017-4,2297,739
45035,"Dorchester County, SC",2018-1,2316,712
45035,"Dorchester County, SC",2018-1,13,1059
45035,"Dorchester County, SC",2018-1,18,684
45035,"Dorchester County, SC",2018-1,52,678
45035,"Dorchester County, SC",2018-1,2233,717
45035,"Dorchester County, SC",2018-2,2321,732
45035,"Dorchester County, SC",2018-2,13,1207
45035,"Dorchester County, SC",2018-2,18,685
45035,"Dorchester County, SC",2018-2,51,703
45035,"Dorchester County, SC",2018-2,2239,735
45035,"Dorchester County, SC",2018-3,2356,711
45035,"Dorchester County, SC",2018-3,13,1068
45035,"Dorchester County, SC",2018-3,18,697
45035,"Dorchester County, SC",2018-3,51,747
45035,"Dorchester County, SC",2018-3,2274,702
45035,"Dorchester County, SC",2018-4,2399,764
45035,"Dorchester County, SC",2018-4,13,1312
45035,"Dorchester County, SC",2018-4,18,712
45035,"Dorchester County, SC",2018-4,51,701
45035,"Dorchester County, SC",2018-4,2317,773
45035,"Dorchester County, SC",2019-1,2510,733
45035,"Dorchester County, SC",2019-1,14,997
45035,"Dorchester County, SC",2019-1,18,685
45035,"Dorchester County, SC",2019-1,51,693
45035,"Dorchester County, SC",2019-1,2427,740
45035,"Dorchester County, SC",2019-2,2530,766
45035,"Dorchester County, SC",2019-2,14,1103
45035,"Dorchester County, SC",2019-2,18,667
45035,"Dorchester County, SC",2019-2,51,727
45035,"Dorchester County, SC",2019-2,2447,774
45035,"Dorchester County, SC",2019-3,2605,749
45035,"Dorchester County, SC",2019-3,14,968
45035,"Dorchester County, SC",2019-3,19,693
45035,"Dorchester County, SC",2019-3,50,767
45035,"Dorchester County, SC",2019-3,2522,746
45035,"Dorchester County, SC",2019-4,2615,785
45035,"Dorchester County, SC",2019-4,14,1182
45035,"Dorchester County, SC",2019-4,19,719
