fips_code,area,period,qtrly_estabs,avg_wkly_wage
17011,"Bureau County, IL",2014-1,922,743
17011,"Bureau County, IL",2014-2,923,686
17011,"Bureau County, IL",2014-3,926,697
17011,"Bureau County, IL",2014-4,924,758
17011,"Bureau County, IL",2015-1,885,755
17011,"Bureau County, IL",2015-2,887,695
17011,"Bureau County, IL",2015-3,884,710
17011,"Bureau County, IL",2015-4,872,783
17011,"Bureau County, IL",2016-1,837,740
17011,"Bureau County, IL",2016-2,840,737
17011,"Bureau County, IL",2016-3,844,714
17011,"Bureau County, IL",2016-4,855,789
17011,"Bureau County, IL",2017-1,777,768
17011,"Bureau County, IL",2017-2,782,746
17011,"Bureau County, IL",2017-3,783,693
17011,"Bureau County, IL",2017-4,783,798
17011,"Bureau County, IL",2018-1,783,786
17011,"Bureau County, IL",2018-2,783,781
17011,"Bureau County, IL",2018-3,792,752
17011,"Bureau County, IL",2018-4,792,816
17011,"Bureau County, IL",2019-1,786,792
17011,"Bureau County, IL",2019-2,792,792
17011,"Bureau County, IL",2019-3,792,764
17011,"Bureau County, IL",2019-4,790,848
17011,"Bureau County, IL",2020-1,782,812
17011,"Bureau County, IL",2020-2,780,853
17011,"Bureau County, IL",2020-3,783,824
