fips_code,area,period,qtrly_estabs,avg_wkly_wage
12121,"Suwannee County, FL",2014-1,823,574
12121,"Suwannee County, FL",2014-2,825,594
12121,"Suwannee County, FL",2014-3,830,569
12121,"Suwannee County, FL",2014-4,831,603
12121,"Suwannee County, FL",2015-1,832,582
12121,"Suwannee County, FL",2015-2,817,601
12121,"Suwannee County, FL",2015-3,807,580
12121,"Suwannee County, FL",2015-4,803,646
12121,"Suwannee County, FL",2016-1,798,603
12121,"Suwannee County, FL",2016-2,796,632
12121,"Suwannee County, FL",2016-3,804,632
12121,"Suwannee County, FL",2016-4,804,622
12121,"Suwannee County, FL",2017-1,811,653
12121,"Suwannee County, FL",2017-2,812,637
12121,"Suwannee County, FL",2017-3,792,644
12121,"Suwannee County, FL",2017-4,803,651
12121,"Suwannee County, FL",2018-1,813,675
12121,"Suwannee County, FL",2018-2,820,660
12121,"Suwannee County, FL",2018-3,812,662
12121,"Suwannee County, FL",2018-4,816,688
12121,"Suwannee County, FL",2019-1,815,683
12121,"Suwannee County, FL",2019-2,821,682
12121,"Suwannee County, FL",2019-3,826,683
12121,"Suwannee County, FL",2019-4,834,706
12121,"Suwannee County, FL",2020-1,837,703
12121,"Suwannee County, FL",2020-2,845,717
12121,"Suwannee County, FL",2020-3,856,705
