fips_code,area,period,qtrly_estabs,avg_wkly_wage
47141,"Putnam County, TN",2014-1,1754,672
47141,"Putnam County, TN",2014-2,1753,690
47141,"Putnam County, TN",2014-3,1753,675
47141,"Putnam County, TN",2014-4,1774,724
47141,"Putnam County, TN",2015-1,1820,663
47141,"Putnam County, TN",2015-2,1820,697
47141,"Putnam County, TN",2015-3,1815,672
47141,"Putnam County, TN",2015-4,1831,749
47141,"Putnam County, TN",2016-1,1852,672
47141,"Putnam County, TN",2016-2,1850,695
47141,"Putnam County, TN",2016-3,1857,716
47141,"Putnam County, TN",2016-4,1879,729
47141,"Putnam County, TN",2017-1,1932,706
47141,"Putnam County, TN",2017-2,1928,709
47141,"Putnam County, TN",2017-3,1935,725
47141,"Putnam County, TN",2017-4,1949,747
47141,"Putnam County, TN",2018-1,1955,739
47141,"Putnam County, TN",2018-2,1983,737
47141,"Putnam County, TN",2018-3,2003,788
47141,"Putnam County, TN",2018-4,2022,768
47141,"Putnam County, TN",2019-1,2022,747
47141,"Putnam County, TN",2019-2,2017,763
47141,"Putnam County, TN",2019-3,2027,768
47141,"Putnam County, TN",2019-4,2052,795
47141,"Putnam County, TN",2020-1,2064,756
47141,"Putnam County, TN",2020-2,2076,777
47141,"Putnam County, TN",2020-3,2106,797
