fips_code,area,period,qtrly_estabs,avg_wkly_wage
48037,"Bowie County, TX",2014-1,2292,703
48037,"Bowie County, TX",2014-1,33,999
48037,"Bowie County, TX",2014-1,29,706
48037,"Bowie County, TX",2014-1,57,663
48037,"Bowie County, TX",2014-1,2173,672
48037,"Bowie County, TX",2014-2,2296,694
48037,"Bowie County, TX",2014-2,32,1079
48037,"Bowie County, TX",2014-2,29,754
48037,"Bowie County, TX",2014-2,56,669
48037,"Bowie County, TX",2014-2,2179,647
48037,"Bowie County, TX",2014-3,2304,711
48037,"Bowie County, TX",2014-3,32,1114
48037,"Bowie County, TX",2014-3,29,740
48037,"Bowie County, TX",2014-3,56,727
48037,"Bowie County, TX",2014-3,2187,657
48037,"Bowie County, TX",2014-4,2302,743
48037,"Bowie County, TX",2014-4,32,1066
48037,"Bowie County, TX",2014-4,30,755
48037,"Bowie County, TX",2014-4,57,688
48037,"Bowie County, TX",2014-4,2183,711
48037,"Bowie County, TX",2015-1,2309,703
48037,"Bowie County, TX",2015-1,32,1070
48037,"Bowie County, TX",2015-1,30,793
48037,"Bowie County, TX",2015-1,57,668
48037,"Bowie County, TX",2015-1,2190,656
48037,"Bowie County, TX",2015-2,2322,715
48037,"Bowie County, TX",2015-2,34,1162
48037,"Bowie County, TX",2015-2,29,795
48037,"Bowie County, TX",2015-2,57,684
48037,"Bowie County, TX",2015-2,2202,657
48037,"Bowie County, TX",2015-3,2332,714
48037,"Bowie County, TX",2015-3,33,1072
48037,"Bowie County, TX",2015-3,29,820
48037,"Bowie County, TX",2015-3,57,708
48037,"Bowie County, TX",2015-3,2213,663
48037,"Bowie County, TX",2015-4,2316,793
48037,"Bowie County, TX",2015-4,33,1177
48037,"Bowie County, TX",2015-4,29,833
48037,"Bowie County, TX",2015-4,57,706
48037,"Bowie County, TX",2015-4,2197,753
48037,"Bowie County, TX",2016-1,2333,701
48037,"Bowie County, TX",2016-1,33,1144
48037,"Bowie County, TX",2016-1,29,827
48037,"Bowie County, TX",2016-1,57,677
48037,"Bowie County, TX",2016-1,2214,641
48037,"Bowie County, TX",2016-2,2351,712
48037,"Bowie County, TX",2016-2,33,1036
48037,"Bowie County, TX",2016-2,28,839
48037,"Bowie County, TX",2016-2,57,688
48037,"Bowie County, TX",2016-2,2233,669
48037,"Bowie County, TX",2016-3,2383,757
48037,"Bowie County, TX",2016-3,33,1235
48037,"Bowie County, TX",2016-3,27,854
48037,"Bowie County, TX",2016-3,56,740
48037,"Bowie County, TX",2016-3,2267,697
48037,"Bowie County, TX",2016-4,2381,781
48037,"Bowie County, TX",2016-4,33,1144
48037,"Bowie County, TX",2016-4,26,816
48037,"Bowie County, TX",2016-4,56,714
48037,"Bowie County, TX",2016-4,2266,746
48037,"Bowie County, TX",2017-1,2375,741
48037,"Bowie County, TX",2017-1,33,1204
48037,"Bowie County, TX",2017-1,26,840
48037,"Bowie County, TX",2017-1,56,680
48037,"Bowie County, TX",2017-1,2260,690
48037,"Bowie County, TX",2017-2,2389,758
48037,"Bowie County, TX",2017-2,32,1109
48037,"Bowie County, TX",2017-2,23,830
48037,"Bowie County, TX",2017-2,56,708
48037,"Bowie County, TX",2017-2,2278,721
48037,"Bowie County, TX",2017-3,2399,758
48037,"Bowie County, TX",2017-3,32,1254
48037,"Bowie County, TX",2017-3,24,877
48037,"Bowie County, TX",2017-3,55,745
48037,"Bowie County, TX",2017-3,2288,697
48037,"Bowie County, TX",2017-4,2411,811
48037,"Bowie County, TX",2017-4,32,1176
48037,"Bowie County, TX",2017-4,24,858
48037,"Bowie County, TX",2017-4,55,723
48037,"Bowie County, TX",2017-4,2300,780
48037,"Bowie County, TX",2018-1,2406,746
48037,"Bowie County, TX",2018-1,30,1088
48037,"Bowie County, TX",2018-1,24,863
48037,"Bowie County, TX",2018-1,55,700
48037,"Bowie County, TX",2018-1,2297,708
48037,"Bowie County, TX",2018-2,2416,774
48037,"Bowie County, TX",2018-2,29,1120
48037,"Bowie County, TX",2018-2,24,860
48037,"Bowie County, TX",2018-2,55,706
48037,"Bowie County, TX",2018-2,2308,742
48037,"Bowie County, TX",2018-3,2395,768
48037,"Bowie County, TX",2018-3,29,1258
48037,"Bowie County, TX",2018-3,20,835
48037,"Bowie County, TX",2018-3,55,754
48037,"Bowie County, TX",2018-3,2291,713
48037,"Bowie County, TX",2018-4,2403,819
48037,"Bowie County, TX",2018-4,29,1217
48037,"Bowie County, TX",2018-4,20,781
48037,"Bowie County, TX",2018-4,56,750
48037,"Bowie County, TX",2018-4,2298,788
48037,"Bowie County, TX",2019-1,2406,761
48037,"Bowie County, TX",2019-1,30,1209
48037,"Bowie County, TX",2019-1,21,790
48037,"Bowie County, TX",2019-1,56,711
48037,"Bowie County, TX",2019-1,2299,720
48037,"Bowie County, TX",2019-2,2390,778
48037,"Bowie County, TX",2019-2,30,1196
48037,"Bowie County, TX",2019-2,21,786
48037,"Bowie County, TX",2019-2,56,736
48037,"Bowie County, TX",2019-2,2283,741
48037,"Bowie County, TX",2019-3,2409,783
48037,"Bowie County, TX",2019-3,30,1292
48037,"Bowie County, TX",2019-3,22,826
48037,"Bowie County, TX",2019-3,56,793
48037,"Bowie County, TX",2019-3,2301,726
